Nb_Ring,Ring,Earlywood,Latewood,E/L_ratio,Nb_FRing,Num_FRing,FRing,lumen_area,Equivalent_Diameter,2P_thickness,Tile_ID,Image
,,,,,,,,34.877952,6.663931852,5.11281361,Image_2,PB1
,,,,,,,,172,14.79855404,0,Image_2,PB1
,,,,,,,,109,11.78062436,0,Image_2,PB1
,,,,,,,,296,19.41336924,0,Image_2,PB1
,,,,,,,,289.92528,19.21312914,0,Image_2,PB1
,,,,,,,,337.6345033,20.73377923,0,Image_2,PB1
,,,,,,,,54.224316,8.309063931,4.159573423,Image_2,PB1
,,,,,,,,42.779988,7.380323329,4.168773485,Image_2,PB1
,,,,,,,,49.592088,7.946232286,1.909798867,Image_2,PB1
,,,,,,,,48,7.81764019,NA,Image_2,PB1
,,,,,,,,27.2484,5.890139252,9.397344128,Image_2,PB1
,,,,,,,,42.779988,7.380323329,0,Image_2,PB1
,,,,,,,,112,11.94164264,0,Image_3,PB1
,,,,,,,,41.690052,7.285699886,8.39428E-01,Image_3,PB1
,,,,,,,,43.869924,7.473748863,2.364827959,Image_3,PB1
,,,,,,,,66.486096,9.200691637,4.71907E-01,Image_3,PB1
,,,,,,,,47.139732,7.74726861,8.42218E-01,Image_3,PB1
,,,,,,,,71.118324,9.515811183,0,Image_3,PB1
,,,,,,,,268,18.47236309,0,Image_3,PB1
,,,,,,,,154,14.00281721,0,Image_3,PB1
,,,,,,,,34.605468,6.637849827,2.234639614,Image_3,PB1
,,,,,,,,117.713088,12.24242454,0,Image_3,PB1
,,,,,,,,180,15.13879513,0,Image_3,PB1
,,,,,,,,54.4968,8.329914815,0,Image_3,PB1
,,,,,,,,34.877952,6.663931852,0,Image_3,PB1
,,,,,,,,173,14.84151075,0,Image_3,PB1
,,,,,,,,62.126352,8.893915231,0,Image_3,PB1
,,,,,,,,241,17.51715531,0,Image_3,PB1
,,,,,,,,31.33566,6.31647065,5.030457895,Image_3,PB1
,,,,,,,,29.155788,6.092807419,5.73184E-01,Image_3,PB1
,,,,,,,,13,4.068428945,0,Image_3,PB1
,,,,,,,,108,11.72646029,5.43155E-01,Image_3,PB1
,,,,,,,,28.065852,5.977838457,4.774417712,Image_3,PB1
,,,,,,,,88,10.58513486,0,Image_3,PB1
,,,,,,,,29.700756,6.149485917,NA,Image_3,PB1
,,,,,,,,52.044444,8.140334403,0,Image_3,PB1
,,,,,,,,209,16.31278838,0,Image_3,PB1
,,,,,,,,47.412216,7.769627296,2.023862308,Image_3,PB1
,,,,,,,,29.97324,6.177630165,0,Image_3,PB1
,,,,,,,,232,17.18695943,0,Image_3,PB1
,,,,,,,,34.0605,6.585375882,0,Image_3,PB1
,,,,,,,,188,15.47155566,1.72262E-01,Image_3,PB1
,,,,,,,,46.32228,7.679801996,7.794231781,Image_3,PB1
,,,,,,,,39.782664,7.117082338,NA,Image_3,PB1
,,,,,,,,213,16.46815178,0,Image_3,PB1
,,,,,,,,35.695404,6.741572512,7.445538379,Image_3,PB1
,,,,,,,,40.055148,7.141414314,0,Image_3,PB1
,,,,,,,,323,20.27945692,0,Image_4,PB1
,,,,,,,,173,14.84151075,2.35001E-01,Image_4,PB1
,,,,,,,,52.589412,8.182842965,0,Image_4,PB1
,,,,,,,,275,18.71205159,2.589130507,Image_4,PB1
,,,,,,,,49.04712,7.902451059,8.19258E-01,Image_4,PB1
,,,,,,,,268,18.47236309,3.976421111,Image_4,PB1
,,,,,,,,93.189528,10.89277707,0,Image_4,PB1
,,,,,,,,101,11.34007028,0,Image_4,PB1
,,,,,,,,241,17.51715531,2.026354847,Image_4,PB1
,,,,,,,,117,12.20528684,8.088114279,Image_4,PB1
,,,,,,,,70.028388,9.442611548,0,Image_4,PB1
,,,,,,,,252,17.91246396,0,Image_4,PB1
,,,,,,,,152,13.91159268,0,Image_4,PB1
,,,,,,,,50.682024,8.033078934,0,Image_4,PB1
,,,,,,,,180,15.13879513,3.289735013,Image_4,PB1
,,,,,,,,62.67132,8.93283846,0,Image_4,PB1
,,,,,,,,163,14.40618082,0,Image_4,PB1
,,,,,,,,34.332984,6.611664913,2.14996676,Image_4,PB1
,,,,,,,,55.314252,8.392156638,3.543420104,Image_4,PB1
,,,,,,,,71.663292,9.552200651,7.385869329,Image_4,PB1
,,,,,,,,2.179872,1.665982963,0,Image_4,PB1
,,,,,,,,160,14.27299293,0,Image_4,PB1
,,,,,,,,105,11.56244577,0,Image_4,PB1
,,,,,,,,52.589412,8.182842965,3.518668806,Image_4,PB1
,,,,,,,,28.61082,6.035596692,1.257453159,Image_4,PB1
,,,,,,,,61.036416,8.815553217,1.431507875,Image_4,PB1
,,,,,,,,91.009656,10.76462229,3.296350072,Image_4,PB1
