Tile_ID,Nb_Cells,Area,Equivalent_Diameter,Centroid_X,Centroid_Y,2P_Thickness
Image_15,19,,,593.8442264646535,164.44302856074026,4.986398538659419
Image_15,19,,,599.4249387630128,164.0690447030006,4.273671314123005
Image_15,19,,,571.3217391304347,161.79855072463766,8.035972255497683
Image_15,19,,,539.3390645586297,160.09822134387352,5.124553103821025
Image_15,19,,,514.9629197577312,158.96411292899228,6.046287597637129
Image_15,19,,,490.10685366000155,156.87298444590115,7.209634917521345
Image_15,19,,,464.94922147184354,154.6383705892651,6.031401671983144
Image_15,19,,,440.6566498158897,153.17942956999315,8.056108415160075
Image_15,19,,,417.7144729451413,152.46089215502715,7.025525445751324
Image_15,19,,,395.45762996556647,151.92841395817587,7.128892392136711
Image_15,19,,,373.2769784742007,149.78936372269706,5.083383633097256
Image_15,19,,,350.7591327873647,147.7214390172565,6.052845998490426
Image_15,19,,,326.4650460688398,147.49962974039104,7.036853661362713
Image_15,19,,,301.37870042583756,146.97468703504182,7.145821076701814
Image_15,19,,,276.8759339975093,144.90001779042876,5.148526494930902
Image_15,19,,,251.6257777393709,143.32610118018863,8.035821420564886
Image_15,19,,,225.61273060132376,141.9525575427561,9.044865912236258
Image_15,19,,,422.5077595200834,153.32613168724282,403.77151613397507
