Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,2P_thickness
Image_0,70,532.5,25.272727272727277,5.994648,2.7627201976254407,NA
Image_0,45,462.0263157894737,33.3421052631579,10.354392,3.630925688593669,14.412868363194718
Image_0,65,427.9574468085106,41.17021276595744,12.806748,4.038076026161216,4.488146121919466
Image_0,8,413.375,35.46875,8.719488,3.331965925912766,NA
Image_0,28,308.1707317073171,36.6219512195122,22.343688,5.333747944628104,NA
Image_0,59,267.5267857142857,26.767857142857142,30.518208,6.233537459585288,NA
Image_0,17,23.67195767195767,37.39153439153439,51.499476,8.09760269316416,0
Image_1,117,588.8242424242425,344.6242424242424,44.95986,7.566020861572922,NA
Image_1,97,541.6694915254237,343.3601694915254,64.306224,9.048603614337264,NA
Image_1,91,468.0,358.5,1.634904,1.4427835681922971,6.424814038979546
Image_1,89,456.125,348.875,2.179872,1.665982962956383,NA
Image_1,93,408.26666666666665,360.5777777777778,12.26178,3.951225529483571,10.74070737190291
Image_1,11,383.125,354.125,2.179872,1.665982962956383,12.889127925228848
Image_1,81,359.8709677419355,372.1612903225807,8.447004,3.2794907420720216,10.57979175001585
Image_1,139,339.2307692307692,355.88461538461536,7.084584,3.003393498494331,NA
Image_1,171,241.86764705882356,377.5661764705882,37.057824,6.869023726748641,NA
Image_1,156,107.70833333333331,381.7916666666667,6.5396160000000005,2.8855671363845943,0
Image_2,133,599.9714285714285,77.08571428571429,9.53694,3.4846533749810127,12.321100467173132
Image_2,555,563.1625766871166,72.22699386503068,88.829784,10.634923306685518,NA
Image_2,553,503.9,93.95,5.44968,2.6341503529890478,NA
Image_2,458,361.4594594594595,110.27027027027027,10.081908,3.5828318341755585,14.556269658021634
Image_2,460,325.76724137931035,121.42241379310344,31.608144,6.343874122055345,NA
Image_2,670,279.86206896551727,119.48275862068964,15.804072,4.48579641069919,12.940686259096013
Image_2,745,246.36764705882356,123.54411764705884,18.528912,4.857133257315255,NA
Image_2,677,210.16504854368927,136.63106796116506,28.065852,5.977838457426268,0.6961342172681988
Image_2,333,195.6701570680628,139.89005235602093,52.044444,8.14033440250182,8.218282981150665
Image_2,667,167.46206896551723,151.04827586206898,39.51018,7.092666888808774,1.5442463403327107
Image_2,267,147.78056426332287,153.46081504702195,86.922396,10.520125090051428,0
Image_2,266,128.94326241134752,151.83924349881798,115.260732,12.114228078483649,0.1155626276313848
Image_2,34,118.1219512195122,140.82926829268294,11.171844,3.771529340786342,2.3492412429300833
Image_2,726,106.275,150.43125,43.59744,7.450502309053973,1.729166492511986
Image_2,610,90.74509803921568,154.85294117647058,27.793368,5.948749046562381,1.56583557828076
Image_2,26,78.45652173913044,152.43478260869566,12.534264,3.994886805524074,4.188094627523761
Image_2,168,58.43287671232877,162.9753424657534,99.45666,11.25309524083396,0
Image_2,170,36.65170940170941,163.42948717948718,127.522512,12.742319456141583,0
Image_2,627,23.25,165.1875,4.359744,2.35605570089543,0
Image_3,1053,634.464,240.84,34.0605,6.5853758824726185,0.6606425427615044
Image_3,328,617.1739130434783,242.00334448160532,81.472716,10.1850028879808,7.2559370271702335
Image_3,327,592.12,233.44,6.8121,2.945069626119288,NA
Image_3,173,539.2432432432432,232.1891891891892,10.081908,3.5828318341755585,3.3934955293494093
Image_3,1033,524.3909090909091,226.65454545454543,29.97324,6.177630164702138,3.7876755765704724
Image_3,166,508.1818181818182,229.24242424242425,8.991972,3.383627393131716,6.112779050754032
Image_3,165,491.5,226.5,3.2698080000000003,2.040404089706594,5.535704939347994
Image_3,846,475.7196261682243,235.9532710280374,29.155788,6.092807418548112,7.928040308595616
Image_3,147,451.8387096774193,232.25806451612905,8.447004,3.2794907420720216,8.024758341766665
