Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,2P_thickness
Image_0,126,552.7865168539325,619.1685393258427,24.251076,5.556746257080472,6.617208960517686
Image_0,245,530.5172413793103,620.2586206896551,15.804072,4.48579641069919,9.82114519497455
Image_0,239,503.6776859504132,608.4628099173553,32.970564,6.479153177462433,5.743205658849536
Image_0,725,484.3603603603604,621.2252252252252,30.245724,6.205646771767258,5.2945345296447615
Image_0,15,465.0833333333333,611.4479166666666,26.158464,5.7711342727691886,1.332681018365017
Image_0,723,451.5132743362832,607.6991150442478,30.790692,6.26130391086079,2.768025727457723
Image_0,220,434.0495867768595,606.4793388429752,32.970564,6.479153177462433,4.367676091672147
Image_0,223,411.6858638743456,607.0314136125654,52.044444,8.14033440250182,8.681305480042823
Image_0,209,384.1818181818182,599.1454545454545,14.98662,4.368244181123451,6.393826907999133
Image_0,197,362.7348484848485,591.0757575757576,35.967888,6.7672547862634325,5.193165525900016
Image_0,196,339.9153846153846,592.4923076923077,35.42292,6.715792025814237,4.72562405227734
Image_0,731,320.6474576271186,576.2881355932203,80.38278,10.116646391554204,4.64070002451253
Image_0,178,293.3319502074689,577.4232365145228,65.668644,9.143955073705005,5.183700321598245
Image_0,79,265.69169960474306,578.5454545454545,68.938452,9.368840015670395,11.377992026448675
Image_0,173,233.41176470588235,567.6764705882352,9.264456,3.434511863374321,5.831449444459972
Image_0,164,212.849765258216,558.0704225352113,58.039092,8.596375228834663,1.7149837639701229
Image_0,172,198.02702702702703,560.027027027027,10.081908,3.5828318341755585,11.092737473100911
Image_0,156,171.63636363636363,557.0909090909091,2.997324,1.953538186261988,12.860016565251236
Image_0,416,147.5,541.7142857142857,3.814776,2.203888304226561,11.969409378029768
Image_0,52,119.5,540.5,7.629552,3.116768729792644,5.820502721636744
Image_0,418,102.9,541.9,5.44968,2.6341503529890478,NA
Image_0,338,64.7459584295612,526.6674364896074,117.985572,12.25658582063528,2.4518143123267944
Image_0,348,39.68376068376068,527.1794871794872,63.761256,9.010180495482995,0
Image_0,349,27.098039215686278,527.8823529411765,13.896684,4.206400790401268,0
Image_1,291,628.789156626506,261.0421686746988,45.232344,7.588913564000072,2.840365939333058
Image_1,289,607.9423076923077,260.91346153846155,56.676672,8.494879637427722,3.011124771535785
Image_1,295,586.7159763313609,261.6686390532544,46.049796,7.657181027910149,3.035909043061526
