Tile_ID,File_ID,Centroid_X,Centroid_Y,Aire,Diamètre_équivalent
Image_7,12,59.11943319838057,407.336032388664,494.0,25.079480359432697
Image_7,12,92.86322188449849,405.4012158054711,329.0,20.466944330257718
Image_7,12,122.0,397.0,,
Image_7,12,125.0,395.0,,
Image_7,12,124.1969111969112,403.8030888030888,259.0,18.159544104586082
Image_7,12,120.0,398.0,,
Image_7,12,124.0,396.0,,
Image_7,12,154.4039408866995,396.04926108374383,203.0,16.07692842495848
Image_7,12,126.0,394.0,,
Image_7,12,183.90104166666663,395.7552083333333,192.0,15.635280380893438
Image_7,12,209.7333333333333,395.04615384615386,195.0,15.756957549709801
Image_7,12,236.8846153846154,392.6730769230769,104.0,11.507254783503184
Image_7,12,259.0315789473684,391.88947368421054,190.0,15.553633450087505
Image_7,12,266.5,392.5,4.0,2.256758334191025
Image_7,12,282.279792746114,390.979274611399,193.0,15.67594437773643
Image_7,12,303.05847953216374,388.65497076023394,171.0,14.755472278097805
Image_7,12,325.36866359447004,385.0,217.0,16.622063085174787
Image_7,12,337.5,394.0,16.0,4.51351666838205
Image_7,12,338.2,394.06666666666666,15.0,4.370193722368317
Image_7,12,349.2,384.7244444444444,225.0,16.925687506432688
Image_7,12,367.3063063063063,381.6936936936937,111.0,11.888212206450685
Image_7,12,382.3014705882353,381.375,136.0,13.159049284959082
Image_7,12,408.3703703703704,383.037037037037,27.0,5.863230142835039
Image_7,12,403.9789473684211,376.778947368421,190.0,15.553633450087505
Image_7,12,404.2846975088968,374.37722419928826,281.0,18.91508160359296
Image_7,12,427.4188034188034,377.0726495726496,234.0,17.26088217525478
Image_7,12,452.5486381322957,373.7042801556421,257.0,18.089294154193436
Image_7,12,476.489010989011,370.63186813186815,182.0,15.222667215103916
Image_7,12,496.13953488372096,367.13178294573646,129.0,12.815923738491737
Image_7,12,529.4333333333333,370.6166666666667,60.0,8.740387444736633
Image_7,12,515.5849056603773,365.4669811320755,212.0,16.42944866646031
Image_7,12,543.8115942028985,369.92753623188406,69.0,9.373021315815206
Image_7,12,535.8943089430894,359.2113821138211,123.0,12.514330345744634
Image_7,12,555.0935251798561,357.37410071942446,139.0,13.303394180365686
Image_7,12,555.3262411347517,357.5390070921986,141.0,13.398760233979036
Image_7,12,572.0,352.7837837837838,74.0,9.706684619910241
Image_7,12,593.8333333333334,352.3492063492063,126.0,12.666024736934256
Image_7,12,617.2482269503546,352.5177304964539,141.0,13.398760233979036
Image_7,12,636.8813559322034,350.79661016949154,59.0,8.667244841319219
Image_7,12,576.8918918918919,366.6833976833977,259.0,18.159544104586082
Image_7,12,576.8918918918919,366.6833976833977,259.0,18.159544104586082
Image_7,12,578.7314285714285,366.3257142857143,175.0,14.927053303604616
Image_7,12,602.1802721088435,367.09183673469386,294.0,19.347672370394786
Image_7,12,631.421052631579,360.3684210526316,19.0,4.918490759365935
Image_7,12,629.93536121673,368.06463878327,263.0,18.29923496393627
Image_7,12,151.81147540983608,407.7213114754098,122.0,12.463355264843006
Image_7,12,169.15625,406.53125,64.0,9.0270333367641
