Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,2P_thickness
Image_0,226,462.7811484290357,340.34236186348863,251.502732,17.894782032518016,NA
Image_0,130,364.2626346313173,347.5335542667771,328.888188,20.46346614720714,0
Image_0,318,348.0,355.58620689655174,7.902036,3.1719370610276725,6.300198195561196
Image_0,282,315.93917274939173,341.75101378751015,335.972772,20.682693713940907,NA
Image_0,111,271.4834710743802,339.6143250688705,197.823384,15.870619250115269,NA
Image_0,97,232.3042735042735,345.4888888888889,159.40314,14.246346247475364,NA
Image_0,96,190.29006266786035,346.56042972247093,304.364628,19.68575831377108,NA
Image_0,81,145.71186440677965,342.30309072781654,273.301452,18.654174233129137,5.104223546685645
Image_0,263,107.87987987987988,345.1861861861862,90.737172,10.748495502526676,0
Image_0,256,94.3330550918197,346.65025041736226,326.435832,20.38703043900519,NA
Image_0,67,44.98823529411764,347.35686274509806,277.93368,18.81159621589217,NA
Image_0,66,6.446475195822455,345.2819843342036,104.361372,11.52722975277308,0
Image_1,227,623.9181818181818,147.1818181818182,89.91972,10.699969315634196,7.6566206130379815
Image_1,223,594.3823529411765,148.58823529411765,18.528912,4.857133257315255,3.437701796603079
Image_1,209,568.5230769230769,164.82905982905982,318.80628,20.14737607744271,NA
Image_1,211,521.0917431192661,167.26474442988206,207.905292,16.270010428211503,NA
Image_1,155,483.6923076923077,176.07692307692307,3.542292,2.1237199093569306,15.876292958511637
Image_1,222,449.5384615384616,189.0,14.169168,4.247439818713861,NA
Image_1,120,320.625,223.3125,4.359744,2.35605570089543,NA
Image_1,119,276.0566037735849,234.7924528301887,14.441652,4.288086101946141,3.113537855439771
Image_1,121,263.1481481481481,233.22222222222223,7.357068,3.0606061345598903,9.420170967118679
Image_1,338,225.18360655737703,235.68087431693988,249.32286,17.817062742171302,NA
Image_1,345,187.76,252.92,13.6242,4.164957407390958,0
Image_1,343,169.837528604119,247.23874904652936,357.226524,21.326859515293965,0
Image_1,269,148.390350877193,250.2894736842105,62.126352,8.893915231018143,0
Image_1,96,130.9049295774648,257.443661971831,154.770912,14.037821965430604,NA
Image_1,85,15.857142857142858,286.92857142857144,3.814776,2.203888304226561,0
Image_2,228,627.4060402684564,235.5771812080537,81.200232,10.167956846095954,0
Image_2,226,613.7797833935018,233.5848375451264,75.47806800000001,9.803145461422556,6.063157136356553
Image_2,56,577.9265687583445,240.1308411214953,204.090516,16.120053215687733,0
Image_2,230,567.6578947368421,230.19078947368425,82.835136,10.269808705556072,6.296531524450014
Image_2,161,531.5173267326733,241.7252475247525,220.167072,16.742921564618097,NA
Image_2,160,482.0764119601329,239.02325581395348,164.035368,14.451862069393858,NA
Image_2,148,443.8484848484849,235.7232323232323,134.87958,13.104732543370352,NA
Image_2,300,401.8847926267281,243.1013824884793,177.38708400000002,15.02851456645194,NA
Image_2,133,348.4061962134251,240.29259896729772,158.313204,14.197557247164914,NA
Image_2,319,299.4091520861373,240.535666218035,202.455612,16.055357088895867,NA
Image_2,288,250.4757433489828,241.41784037558685,174.117276,14.889358657268172,NA
Image_2,107,198.1591784338896,241.90500641848524,212.265036,16.43971525908624,NA
Image_2,93,143.0995670995671,238.73809523809524,125.887608,12.66037442960194,NA
Image_2,258,101.54114713216956,238.3416458852868,109.266084,11.7949946607514,NA
Image_2,79,55.15686274509804,241.91704374057315,180.656892,15.166393734944029,5.544922341640076
Image_2,80,28.875,246.875,2.179872,1.665982962956383,4.948810235442996
Image_2,261,9.775599128540303,233.76906318082789,125.070156,12.619202371203809,0
Image_3,226,629.3022508038586,244.2990353697749,84.742524,10.387373714152613,0.5898742755404314
Image_3,70,612.5544554455446,244.04950495049505,27.520884,5.9195166876079695,8.093787215461875
Image_3,69,579.584090909091,242.4340909090909,119.89296,12.355260329404276,11.484973733134863
Image_3,173,542.7179487179487,248.48717948717947,10.626876,3.6783907840517744,5.242964703656697
Image_3,227,522.7415730337078,255.26404494382024,48.502152,7.858425919429137,NA
Image_3,221,469.4028520499109,237.33868092691625,152.863524,13.951053139615397,NA
Image_3,157,412.9929161747344,241.5844155844156,230.793948,17.14222801385954,NA
Image_3,143,358.5919881305638,240.339762611276,183.654216,15.2916908930482,3.9127741162289613
Image_3,144,336.0,247.28571428571428,1.907388,1.558384364896322,6.838430775106166
Image_3,134,311.6911314984709,242.3975535168196,89.102268,10.651222049285728,9.143829723108388
Image_3,279,275.4911504424779,242.6504424778761,61.581384,8.85482090887903,NA
Image_3,124,237.04381443298968,239.7551546391753,105.723792,11.602228785615074,NA
Image_3,125,189.36146095717885,242.24307304785893,216.352296,16.59723768768307,NA
Image_3,111,134.6119133574007,236.56317689530687,150.956136,13.863741265460034,0
Image_3,252,122.0,239.0,1.36242,1.3170751764945237,10.61865070074749
Image_3,95,94.76973684210526,230.38815789473685,41.417568,7.261851377187338,2.3454263214376985
Image_3,10,82.0,228.28571428571428,1.907388,1.558384364896322,NA
Image_3,93,35.96842105263158,230.83684210526317,103.54392,11.48199519077125,5.626947584674626
Image_3,299,5.184905660377359,227.51698113207547,72.20826,9.588452017323664,0
Image_4,233,635.6275167785235,587.5369127516778,81.200232,10.167956846095954,2.2065268808285605
Image_4,30,604.1389432485323,593.2514677103718,278.478648,18.83002992557324,NA
Image_4,229,541.25,592.7857142857143,106.813728,11.66188074069468,NA
Image_4,228,484.16653816499615,588.9128758673862,353.411748,21.212680479552272,NA
