Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,Corrected_CX,Corrected_CY,File_ID,Order,2p_Thickness
Image_0,422,209.6084656084656,489.30687830687833,189,15.512648837479231,209.57070707070707,489.3021885521885,21,0,0.03514020442338507
Image_0,422,209.6084656084656,489.30687830687833,189,15.512648837479231,209.57792207792207,489.33658008658006,21,1,7.524505613752453
Image_0,416,231.03246753246756,491.0974025974026,154,14.002817212590296,231.03012048192772,491.09939759036143,21,2,0.012305368991675345
Image_0,416,231.03246753246756,491.0974025974026,154,14.002817212590296,231.03968253968253,491.10714285714283,21,3,8.090706927689293
Image_0,497,254.3894736842105,492.6105263157895,190,15.553633450087505,254.08909853249475,492.4874213836478,21,4,0.05023975449529157
Image_0,497,254.3894736842105,492.6105263157895,190,15.553633450087505,254.13875205254516,492.4950738916256,21,5,8.122201115530864
Image_0,500,279.353488372093,494.0,215,16.545286401814263,279.218945487042,493.9472743521,21,6,0.017247753741241288
Image_0,500,279.353488372093,494.0,215,16.545286401814263,279.2198429693076,493.93004996431114,21,7,
Image_1,566,364.44827586206895,89.2911877394636,261,18.229523339239496,364.39898989898984,89.17893217893217,87,0,0.05778200159351432
Image_1,566,364.44827586206895,89.2911877394636,261,18.229523339239496,364.4567251461988,89.1766081871345,87,1,5.585332287507665
Image_1,565,386.9527896995708,91.19742489270386,233,17.22396045987371,386.94171578258016,91.30320890635231,87,2,0.02266565909041557
Image_1,565,386.9527896995708,91.19742489270386,233,17.22396045987371,386.9643146796431,91.30494728304946,87,3,1.1344396886766503
Image_1,652,428.0805860805861,96.95604395604396,273,18.64388360059941,428.1389420012747,96.26322498406628,87,6,0.1607258778679207
Image_1,652,428.0805860805861,96.95604395604396,273,18.64388360059941,428.14740626605027,96.10272213662044,87,7,6.910597100993485
Image_1,855,451.959375,98.428125,320,20.185060176161283,451.94619047619045,98.41238095238094,87,8,0.0429747551018371
Image_1,855,451.959375,98.428125,320,20.185060176161283,451.9729885057471,98.44597701149425,87,9,5.068334902798501
Image_1,854,479.8926174496645,101.42281879194633,447,23.85661494212072,479.88092765662856,101.4423676012461,87,10,0.018970259528115558
Image_1,854,479.8926174496645,101.42281879194633,447,23.85661494212072,479.89565570442545,101.4543239951279,87,11,
Image_10,874,477.1597444089457,335.9297124600639,313,19.963065333312567,477.15124816446405,335.8947626040137,52,0,0.025670948325512602
Image_10,874,477.1597444089457,335.9297124600639,313,19.963065333312567,477.1763668430335,335.90005878894766,52,1,2.416926315776486
Image_10,973,499.46693386773546,336.0,499,25.20608126668733,499.592803030303,336.04829545454544,52,2,0.056421924905981594
Image_10,973,499.46693386773546,336.0,499,25.20608126668733,499.6488888888889,336.05444444444447,52,3,1.684438922488603
Image_10,979,525.3023255813954,335.8813953488372,430,23.39856842279288,525.3329054343175,335.90714591356436,52,4,0.003024517329150011
Image_10,979,525.3023255813954,335.8813953488372,430,23.39856842279288,525.3347810351067,335.9095186391603,52,5,2.322805840854791
Image_10,290,550.0745098039216,335.6392156862745,255,18.01877032173579,549.6559139784946,335.62425328554355,52,6,0.0633892830455049
Image_10,290,550.0745098039216,335.6392156862745,255,18.01877032173579,549.6977777777778,335.6718518518518,52,7,5.038081256284691
Image_10,293,574.6950354609929,336.6737588652482,282,18.948708441878452,574.720992622401,336.5345405767941,52,8,0.019786135114641685
Image_10,293,574.6950354609929,336.6737588652482,282,18.948708441878452,574.7223131478451,336.5542825968358,52,9,2.4417588648679995
Image_10,295,600.1411192214111,336.1362530413625,411,22.875783109789968,600.1614512471655,336.18911564625853,52,10,0.057047276372754016
Image_10,295,600.1411192214111,336.1362530413625,411,22.875783109789968,600.2162675788674,336.1733181299886,52,11,
Image_11,454,142.53900709219857,5.00709219858156,282,18.948708441878452,142.2526690391459,5.377224199288256,106,0,2.950340856013767
Image_11,464,160.06666666666666,3.0,45,7.569397566060481,160.07608695652175,3.2463768115942027,106,1,0.03309294445946329
Image_11,464,160.06666666666666,3.0,45,7.569397566060481,160.10416666666666,3.263888888888889,106,2,2.149225634841935
Image_11,1208,196.1703296703297,3.956043956043956,182,15.222667215103916,196.2471482889734,4.513307984790875,106,5,0.12239665635685458
Image_11,1208,196.1703296703297,3.956043956043956,182,15.222667215103916,196.27146814404432,4.393351800554017,106,6,6.462174331861984
Image_11,541,221.7590909090909,4.959090909090909,220,16.73656774376801,221.7118977384464,5.445427728613569,106,7,0.11738878630519135
Image_11,541,221.7590909090909,4.959090909090909,220,16.73656774376801,221.71535580524343,5.328089887640449,106,8,6.098647042347707
Image_11,633,272.69322709163345,6.219123505976095,251,17.876888032555495,272.8268733850129,6.628552971576227,106,11,0.06834557038845443
Image_11,633,272.69322709163345,6.219123505976095,251,17.876888032555495,272.87293729372936,6.679042904290428,106,12,6.910663737380521
Image_12,160,133.05,634.875,120,12.360774464742066,133.163708086785,634.3510848126233,0,0,0.0865776610982212
Image_12,160,133.05,634.875,120,12.360774464742066,133.1673525377229,634.437585733882,0,1,4.707875656349003
Image_12,10,150.83471074380165,635.0826446280992,121,12.412170838050638,150.8743386243386,634.6150793650794,0,2,0.09901709359081391
Image_12,10,150.83471074380165,635.0826446280992,121,12.412170838050638,150.88825757575756,634.5170454545455,0,3,4.608876282919681
Image_12,162,171.32051282051282,635.1153846153846,156,14.093451279891855,171.4968152866242,634.6316348195328,0,4,0.1180386959853882
Image_12,162,171.32051282051282,635.1153846153846,156,14.093451279891855,171.5132743362832,634.5147492625368,0,5,7.702483070061106
Image_12,13,194.18260869565216,635.5130434782609,115,12.100518486599809,194.20956399437412,635.0450070323487,0,6,0.12071185091120286
Image_12,13,194.18260869565216,635.5130434782609,115,12.100518486599809,194.2126789366053,634.924335378323,0,7,4.169756147636434
Image_12,974,265.5267857142857,636.0803571428571,112,11.941642642883693,265.5191740412979,635.5899705014748,0,10,0.13282784885588902
Image_12,974,265.5267857142857,636.0803571428571,112,11.941642642883693,265.55555555555554,635.4622222222222,0,11,21.660289343096814
Image_13,487,203.0612244897959,2.3877551020408165,98,11.170383851240114,203.15669515669515,3.1054131054131053,125,0,0.12714665369525585
Image_13,487,203.0612244897959,2.3877551020408165,98,11.170383851240114,203.1996434937611,2.9857397504456324,125,1,13.375349091367262
Image_13,53,229.4333333333333,1.6166666666666667,60,8.740387444736633,229.5648148148148,2.253086419753086,125,2,0.11006447115427402
Image_13,53,229.4333333333333,1.6166666666666667,60,8.740387444736633,229.625,2.345238095238095,125,3,10.520019387937893
Image_13,567,255.44670050761425,3.989847715736041,197,15.837556323903858,255.0392156862745,4.666666666666666,125,4,0.2320968202530425
Image_13,567,255.44670050761425,3.989847715736041,197,15.837556323903858,255.22362869198312,4.525738396624472,125,5,11.24301891171866
Image_13,565,283.55555555555554,2.511111111111111,90,10.704744696916627,283.43636363636364,3.2181818181818183,125,6,0.11709675047882621
Image_13,565,283.55555555555554,2.511111111111111,90,10.704744696916627,283.4597701149425,3.103448275862069,125,7,8.237486950195386
Image_13,1017,306.73643410852713,3.224806201550388,129,12.815923738491737,306.6852886405959,3.8491620111731844,125,8,0.14076101345093497
Image_13,1017,306.73643410852713,3.224806201550388,129,12.815923738491737,306.69604086845465,3.7088122605363987,125,9,9.231712788834724
Image_13,643,333.8857142857143,3.9657142857142857,175,14.927053303604616,333.9134366925064,4.59173126614987,125,10,0.12040276066187458
Image_13,643,333.8857142857143,3.9657142857142857,175,14.927053303604616,333.94821092278715,4.476459510357815,125,11,10.880074943435474
