Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,Corrected_CX,Corrected_CY,File_ID,Order,2p_Thickness
Image_0,131,10.037037037037036,560.6666666666666,351,21.14017691983778,10.463143254520167,560.7060732498841,15,0,0.12122604714856024
Image_0,131,10.037037037037036,560.6666666666666,351,21.14017691983778,10.570458404074703,560.6496887379739,15,1,8.493211145850488
Image_0,128,69.63135593220339,560.9194915254237,236,17.334489682638438,69.68133659331703,561.0309698451507,15,4,0.008072230124438699
Image_0,139,90.8352490421456,561.7318007662835,261,18.229523339239496,90.82581018518518,561.7430555555555,15,6,0.03187076345603174
Image_0,152,117.11315789473684,562.4447368421053,380,21.996159369293583,117.09722222222221,562.4573754789271,15,8,0.039792963426438906
Image_0,152,117.11315789473684,562.4447368421053,380,21.996159369293583,117.12823624595468,562.4324433656958,15,9,6.0617407945448605
Image_0,148,142.15444015444015,561.3667953667954,259,18.15954410458608,142.16267247639797,561.2628903413217,15,10,0.018710268774397156
Image_0,148,142.15444015444015,561.3667953667954,259,18.15954410458608,142.17286135693215,561.247197640118,15,11,7.607329612843557
Image_0,151,164.68260869565216,560.2652173913043,230,17.112717355495807,164.75839475839473,560.2547092547093,15,12,0.015822308435810253
Image_0,151,164.68260869565216,560.2652173913043,230,17.112717355495807,164.75973597359734,560.2389438943893,15,13,5.110313304190672
Image_0,160,188.05523255813952,559.0436046511628,344,20.928315827817965,188.84487951807228,559.1375502008032,15,14,0.017307039164868608
Image_0,160,188.05523255813952,559.0436046511628,344,20.928315827817965,188.85227272727272,559.1531986531986,15,15,4.1124675859996636
Image_0,164,212.849765258216,558.0704225352113,213,16.46815177937675,212.93145743145743,557.8867243867244,15,16,0.05892515303216022
Image_0,164,212.849765258216,558.0704225352113,213,16.46815177937675,212.94626593806922,557.8296903460838,15,17,3.384556073971922
Image_0,168,232.71341463414635,556.7560975609756,164,14.450303987687134,232.32075471698113,557.2050314465408,15,18,0.08495501002986891
Image_0,168,232.71341463414635,556.7560975609756,164,14.450303987687134,232.3760683760684,557.1405508072174,15,19,8.069435882354345
Image_0,180,256.2867924528302,558.8905660377359,265,18.36868202552426,256.3776223776224,558.9469696969696,15,20,0.12852160049482184
Image_0,180,256.2867924528302,558.8905660377359,265,18.36868202552426,256.5,558.9862318840579,15,21,4.470637268290631
Image_0,175,280.00307692307695,557.2492307692307,325,20.34214472564109,279.90814393939394,557.2746212121211,15,22,0.010031494266716397
Image_0,179,305.11072664359864,555.9307958477509,289,19.182445840623718,305.0707573244886,556.0237700386954,15,24,0.013995449439844638
Image_0,194,331.20754716981133,555.3245283018867,265,18.36868202552426,331.30488694383655,555.4777534646244,15,26,0.013627421104237609
Image_0,193,356.81889763779526,553.7401574803149,254,17.983404693292407,356.8216175359032,553.6878306878307,15,28,0.07155338125334698
Image_0,193,356.81889763779526,553.7401574803149,254,17.983404693292407,356.8263762855414,553.7592256503327,15,29,8.006270450135421
Image_0,206,381.9516129032258,550.8387096774194,186,15.389040103942165,381.6473429951691,550.720611916264,15,30,0.06643620256907319
Image_0,206,381.9516129032258,550.8387096774194,186,15.389040103942165,381.70440251572325,550.6865828092242,15,31,9.193065401361192
Image_0,225,407.8780487804878,553.3554006968641,287,19.11595536035256,407.7700463883366,553.2670642809808,15,32,0.029779770868571236
Image_0,219,435.4724919093851,554.6504854368932,309,19.83509564693766,435.36486486486484,554.7227227227227,15,34,0.044922970228437026
Image_0,217,461.4846416382253,553.6962457337884,293,19.314740138231286,461.48268733850125,553.6904392764858,15,36,0.012829753299823918
Image_0,244,508.4,553.4745098039216,255,18.01877032173579,508.4060606060606,553.4915151515152,15,40,0.039023226446436854
Image_0,240,532.2477477477478,552.1981981981982,222,16.812470934731934,532.2139699381079,552.2139699381079,15,42,0.02452919312649226
Image_0,125,552.3584905660377,551.0314465408806,159,14.228319915327,552.3738562091503,551.037908496732,15,44,0.0685923245367152
Image_0,125,552.3584905660377,551.0314465408806,159,14.228319915327,552.4372049102926,551.0642115203021,15,45,
Image_1,938,4.083333333333333,403.1333333333333,120,12.360774464742066,4.566395663956639,403.2723577235772,24,0,0.09045985458200899
Image_1,412,24.689497716894977,400.61187214611874,219,16.698486766680407,24.624891209747602,400.6118363794603,24,2,0.044337645888999966
Image_1,408,52.09215017064847,399.8976109215017,293,19.314740138231286,52.13993710691824,399.9973794549266,24,4,0.060591170111842084
Image_1,408,52.09215017064847,399.8976109215017,293,19.314740138231286,52.175,400.0467948717948,24,5,8.763326258950112
Image_1,407,76.9748743718593,401.36180904522615,199,15.91774699517169,76.91325536062378,401.1608187134503,24,6,0.06986272439785246
Image_1,407,76.9748743718593,401.36180904522615,199,15.91774699517169,76.96879756468796,401.20319634703196,24,7,9.810339907829093
Image_1,409,99.67469879518072,399.73493975903614,166,14.538148590038452,99.7394366197183,399.8579812206572,24,8,0.0595787069103478
Image_1,409,99.67469879518072,399.73493975903614,166,14.538148590038452,99.77127659574468,399.80762411347513,24,9,6.597030707352847
Image_1,482,119.640522875817,402.3137254901961,153,13.957279475043832,119.10625535561267,403.00171379605825,24,10,0.05562206709814221
Image_1,485,138.7680412371134,400.2164948453608,194,15.716503163191918,138.90718562874252,400.2405189620758,24,12,0.023928416640731906
Image_1,485,138.7680412371134,400.2164948453608,194,15.716503163191918,138.9131455399061,400.2636932707355,24,13,7.048033329398844
Image_1,937,159.86547085201795,397.19730941704034,223,16.85029431422316,159.7510766580534,397.297157622739,24,14,0.05953967026407725
Image_1,937,159.86547085201795,397.19730941704034,223,16.85029431422316,159.78050443081116,397.2453987730061,24,15,6.034695937239395
Image_1,934,177.8109756097561,396.3109756097561,164,14.450303987687134,177.79088471849866,396.3092046470062,24,16,0.04313697987634951
Image_1,1010,193.92666666666668,396.36,150,13.81976597885342,193.85549132947978,396.3342967244701,24,18,0.045655159921112326
Image_1,936,211.8855721393035,398.1592039800995,201,15.99753570059363,211.91232048374906,398.318216175359,24,20,0.014324142706075042
Image_1,967,232.3125,394.50625,320,20.185060176161283,232.25159420289853,394.4405797101449,24,22,0.044287153327470324
Image_1,967,232.3125,394.50625,320,20.185060176161283,232.28072692491628,394.4739359158297,24,23,6.7386219372479275
Image_1,966,257.949494949495,394.25,396,22.45446191105733,258.01909307875894,394.35918854415274,24,24,0.011813799322033375
Image_1,966,257.949494949495,394.25,396,22.45446191105733,258.0225352112676,394.34788732394367,24,25,6.401559340218238
Image_1,965,282.25,396.99242424242425,264,18.333991376950163,282.2685185185185,397.0989583333333,24,26,0.023839169726917214
