Tile_ID,File_ID,Centroid_X,Centroid_Y,Aire,Diamètre_équivalent
Image_9,7,123.8984238178634,544.614711033275,571.0,26.963304323539017
Image_9,7,116.15789473684212,545.2631578947369,19.0,4.918490759365935
Image_9,7,100.71698113207547,541.7283018867925,265.0,18.36868202552426
Image_9,7,77.28571428571429,541.1552795031056,322.0,20.248040236149336
Image_9,7,134.0,536.0,,
Image_9,7,134.2,533.9,10.0,3.5682482323055424
Image_9,7,163.82,540.44,50.0,7.978845608028654
Image_9,7,192.62135922330097,536.6893203883495,309.0,19.83509564693766
Image_9,7,193.8825910931174,533.2995951417004,494.0,25.079480359432697
Image_9,7,215.69955156950672,534.4215246636771,223.0,16.85029431422316
Image_9,7,222.70967741935485,540.7096774193549,31.0,6.282549314314218
Image_9,7,170.1847389558233,528.0080321285141,249.0,17.805522925178455
Image_9,7,217.94142512077292,536.7258454106279,,
Image_9,7,146.29182879377433,526.7859922178989,257.0,18.089294154193436
Image_9,7,194.8571428571429,522.8839285714286,112.0,11.941642642883693
Image_9,7,146.08743169398906,525.2459016393443,183.0,15.26443044094783
Image_9,7,122.53888888888888,520.25,180.0,15.138795132120961
Image_9,7,149.65384615384616,519.6153846153846,26.0,5.753627391751592
Image_9,7,98.10550458715596,517.697247706422,218.0,16.66031874701878
Image_9,7,149.69230769230768,519.7948717948718,39.0,7.046725639945928
Image_9,7,177.23809523809524,515.5428571428571,105.0,11.562445770562215
Image_9,7,67.0,521.0,,
Image_9,7,74.72280294231513,515.9957413859853,,
Image_9,7,72.48557692307692,515.1538461538462,208.0,16.273715780512877
Image_9,7,50.0,520.0,,
Image_9,7,50.45679012345679,511.5679012345679,162.0,14.361922094451577
Image_9,7,54.0,518.0,,
Image_9,7,40.961693548387096,512.6028225806451,496.0,25.13019725725687
Image_9,7,35.84789644012945,513.1488673139158,309.0,19.83509564693766
Image_9,7,16.0,512.0,,
Image_9,7,19.875,508.1363636363636,88.0,10.585134856802455
Image_9,7,10.175526024363233,514.0215946843854,,
Image_9,7,15.0,511.0,,
Image_9,7,6.968627450980392,515.8588235294118,255.0,18.01877032173579
Image_9,7,62.82222222222222,506.02222222222224,45.0,7.569397566060481
Image_9,7,61.54385964912281,505.7719298245614,57.0,8.51907589177983
Image_9,7,80.0,510.0,,
Image_9,7,29.428571428571427,498.48979591836735,49.0,7.898654169668588
Image_9,7,83.66917293233082,506.0601503759398,133.0,13.013103375051497
Image_9,7,3.05,492.35,20.0,5.046265044040321
Image_9,7,4.0,495.0,,
Image_9,7,27.0,495.5,,
Image_9,7,27.517632850241544,490.7089371980676,,
Image_9,7,26.0,497.0,,
Image_9,7,16.390862944162436,490.5862944162437,394.0,22.397686948112614
Image_9,7,44.15771812080537,489.58053691275165,298.0,19.47884453275087
Image_9,7,66.76530612244898,493.4285714285714,196.0,15.797308339337176
Image_9,7,94.29054054054056,490.93693693693695,444.0,23.77642441290137
Image_9,7,100.5,493.5,16.0,4.51351666838205
Image_9,7,101.19662921348316,491.57865168539325,178.0,15.054455784347004
Image_9,7,121.4487951807229,495.53614457831327,332.0,20.56004690782767
Image_9,7,144.8549848942598,498.1510574018127,331.0,20.529059630371258
Image_9,7,167.70498084291188,499.13409961685824,261.0,18.229523339239496
Image_9,7,178.0,492.0,,
Image_9,7,177.0,494.7058823529412,17.0,4.652426491681278
Image_9,7,190.5253333333333,504.58133333333336,375.0,21.850968611841584
Image_9,7,164.0909090909091,506.09090909090907,22.0,5.292567428401227
Image_9,7,215.0643274853801,507.19883040935673,342.0,20.867389014906145
Image_9,7,223.98039215686276,503.4117647058824,51.0,8.058239062071396
Image_9,7,163.32142857142858,506.6071428571428,28.0,5.970821321441846
Image_9,7,243.78249336870027,506.3819628647215,377.0,21.909160375631842
Image_9,7,271.1604584527221,507.82521489971344,349.0,21.079862454783044
Image_9,7,297.61538461538464,510.38461538461536,13.0,4.068428945128219
Image_9,7,296.2135922330097,511.6019417475728,206.0,16.195287778099022
Image_9,7,301.8230958230958,512.0835380835381,407.0,22.764193258431348
Image_9,7,314.27777777777777,510.8888888888889,18.0,4.787307364817192
Image_9,7,333.31944444444446,513.8194444444445,288.0,19.149229459268767
Image_9,7,322.0,508.0,,
Image_9,7,334.2081081081081,513.7324324324325,370.0,21.70480664627101
Image_9,7,323.0,507.0,,
Image_9,7,334.2081081081081,513.7324324324325,370.0,21.70480664627101
Image_9,7,334.5643340857788,514.5191873589165,443.0,23.74963406702674
Image_9,7,365.2564102564103,514.977207977208,351.0,21.14017691983778
Image_9,7,364.07173539518897,516.9458762886597,,
Image_9,7,392.8279569892473,519.168458781362,279.0,18.847647942942654
Image_9,7,393.2056074766355,510.3457943925234,107.0,11.67204486311899
Image_9,7,392.8887269193391,516.829931972789,,
Image_9,7,361.5,524.0,,
Image_9,7,359.5,523.0,,
