Tile_ID,Nb_Cells,Area,Equivalent_Diameter,Centroid_X,Centroid_Y,2P_Thickness
Image_14,11,,,452.83179823287014,444.49606836839945,9.014936879603763
Image_14,11,,,450.1275271390191,448.68837170624,21.814034913716405
Image_14,11,,,462.86638341212193,448.37297705522883,49.639909509894935
Image_14,11,,,503.01377657981436,443.544474393531,7.043004267772336
Image_14,11,,,525.0960123109862,441.2238057005219,10.337048423197892
Image_14,11,,,547.4477428122478,439.2688665222746,7.016249631602406
Image_14,11,,,570.5188259843949,438.98636061210914,8.015504231693871
Image_14,11,,,603.6295093795094,437.51587301587307,26.14140077662853
Image_14,11,,,614.6754974290186,436.6312877263582,7.0414674852441514
Image_14,11,,,585.6852654387865,441.52139761646805,32.97774087936982
