Tile_ID,File_ID,Centroid_X,Centroid_Y,Aire,Diamètre_équivalent
Image_7,2,458.0575079872205,283.08306709265173,626.0,28.2320377409108
Image_7,2,464.47511312217193,289.80542986425337,221.0,16.774562271083887
Image_7,2,464.7952380952381,289.5047619047619,210.0,16.351767622932517
Image_7,2,453.0933333333333,275.9533333333333,300.0,19.544100476116796
Image_7,2,475.4723404255319,300.20851063829787,235.0,17.297725082009
Image_7,2,475.4723404255319,300.20851063829787,235.0,17.297725082009
Image_7,2,453.2372881355933,275.93898305084747,295.0,19.38054864282415
Image_7,2,453.0933333333333,275.9533333333333,300.0,19.544100476116796
Image_7,2,441.4585635359116,259.48618784530385,181.0,15.180789096653193
Image_7,2,457.8938356164384,282.0342465753425,584.0,27.26851470332286
Image_7,2,440.231046931408,261.6137184115523,277.0,18.77997214831907
Image_7,2,440.1648351648352,261.75457875457874,273.0,18.643883600599406
Image_7,2,426.3110236220472,248.93700787401573,254.0,17.983404693292407
Image_7,2,433.5545286506469,254.93160813308688,541.0,26.245429958408437
Image_7,2,426.3110236220472,248.93700787401573,254.0,17.983404693292407
Image_7,2,426.34645669291336,248.88188976377955,254.0,17.983404693292407
Image_7,2,433.5545286506469,254.93160813308688,541.0,26.245429958408437
Image_7,2,414.2578125,236.296875,128.0,12.766152972845846
Image_7,2,406.43443917851494,226.86729857819904,,
Image_7,2,396.8633461047254,217.47637292464876,,
Image_7,2,386.9516129032258,205.8763440860215,186.0,15.389040103942165
Image_7,2,386.71590909090907,205.76136363636363,176.0,14.96964127403822
Image_7,2,375.828947368421,193.62280701754383,228.0,17.03815178355966
Image_7,2,375.828947368421,193.62280701754383,228.0,17.03815178355966
Image_7,2,375.5847457627119,193.7542372881356,236.0,17.334489682638438
Image_7,2,375.5847457627119,193.7542372881356,236.0,17.334489682638438
Image_7,2,375.87012987012986,193.7056277056277,231.0,17.14987856615383
Image_7,2,369.1867145421903,187.2728904847397,557.0,26.63070457981699
Image_7,2,361.6297577854671,180.63667820069205,289.0,19.182445840623714
Image_7,2,361.6297577854671,180.63667820069205,289.0,19.182445840623714
Image_7,2,361.822299651568,180.808362369338,287.0,19.115955360352558
Image_7,2,346.317880794702,164.7251655629139,302.0,19.60913925979463
Image_7,2,346.4557823129252,164.62244897959184,294.0,19.347672370394786
Image_7,2,346.317880794702,164.7251655629139,302.0,19.60913925979463
Image_7,2,332.53389830508473,150.19915254237287,236.0,17.334489682638438
Image_7,2,332.54468085106384,150.14468085106384,235.0,17.297725082009
Image_7,2,332.53389830508473,150.19915254237287,236.0,17.334489682638438
Image_7,2,322.6877828054299,138.4343891402715,221.0,16.774562271083887
Image_7,2,322.7027027027027,138.38738738738738,222.0,16.812470934731934
Image_7,2,310.70854271356785,128.03517587939697,199.0,15.91774699517169
Image_7,2,310.7313432835821,127.96019900497512,201.0,15.99753570059363
Image_7,2,310.0956175298805,128.98804780876495,251.0,17.876888032555495
Image_7,2,310.0956175298805,128.98804780876495,251.0,17.876888032555495
Image_7,2,483.936507936508,313.98015873015873,252.0,17.91246396432554
Image_7,2,483.9477911646586,314.00803212851406,249.0,17.805522925178455
Image_7,2,483.936507936508,313.98015873015873,252.0,17.91246396432554
Image_7,2,494.26973684210526,326.3092105263158,152.0,13.911592676604096
Image_7,2,494.26973684210526,326.3092105263158,152.0,13.911592676604096
Image_7,2,495.11206896551727,324.4741379310345,116.0,12.153015559492998
