Tile_ID,Nb_Cells,Area,Equivalent_Diameter,Centroid_X,Centroid_Y,2P_Thickness,file_id,score_file,Cell_ID
Image_17,,196.0,15.797308339337176,617.8622448979592,423.75,,59.0,0.8794800983645933,35.0
Image_17,,130.0,12.865501965161371,599.623076923077,420.6461538461538,,59.0,0.8794800983645933,512.0
Image_17,,130.0,12.865501965161371,599.623076923077,420.6461538461538,,59.0,0.8794800983645933,512.0
Image_17,,196.0,15.797308339337176,617.8622448979592,423.75,,59.0,0.8794800983645933,35.0
Image_17,,167.0,14.581872443920645,441.4071856287425,384.8443113772455,,59.0,0.8794800983645933,1194.0
Image_17,,167.0,14.581872443920645,441.4071856287425,384.8443113772455,,59.0,0.8794800983645933,1194.0
Image_17,,224.0,16.88803298257901,393.3928571428572,374.875,,59.0,0.8794800983645933,1063.0
Image_17,,138.0,13.255453865237978,426.4492753623188,382.0434782608696,,59.0,0.8794800983645933,176.0
Image_17,,224.0,16.88803298257901,393.3928571428572,374.875,,59.0,0.8794800983645933,1063.0
Image_17,,143.0,13.49345229721172,456.4755244755245,388.1468531468532,,59.0,0.8794800983645933,96.0
Image_17,,138.0,13.255453865237978,426.4492753623188,382.0434782608696,,59.0,0.8794800983645933,176.0
Image_17,,143.0,13.49345229721172,456.4755244755245,388.1468531468532,,59.0,0.8794800983645933,96.0
Image_17,,208.0,16.273715780512877,373.42788461538464,370.7451923076923,,59.0,0.8794800983645933,1060.0
Image_17,,126.0,12.666024736934256,322.6507936507937,360.6031746031746,,59.0,0.8794800983645933,1517.0
Image_17,,126.0,12.666024736934256,322.6507936507937,360.6031746031746,,59.0,0.8794800983645933,1517.0
Image_15,,207.0,16.23454913941803,514.8695652173913,172.67632850241546,,75.0,0.6094104586091926,937.0
Image_15,,279.0,18.84764794294265,530.752688172043,170.752688172043,,75.0,0.6094104586091926,728.0
Image_15,,179.0,15.09668435477122,501.6703910614525,175.00558659217876,,75.0,0.6094104586091926,928.0
Image_15,,207.0,16.23454913941803,514.8695652173913,172.67632850241546,,75.0,0.6094104586091926,937.0
Image_15,,279.0,18.84764794294265,530.752688172043,170.752688172043,,75.0,0.6094104586091926,728.0
Image_15,,179.0,15.09668435477122,501.6703910614525,175.00558659217876,,75.0,0.6094104586091926,928.0
Image_15,,143.0,13.49345229721172,546.1818181818181,167.97202797202797,,75.0,0.6094104586091926,127.0
Image_15,,143.0,13.49345229721172,546.1818181818181,167.97202797202797,,75.0,0.6094104586091926,127.0
