Tile_ID,File_ID,Centroid_X,Centroid_Y
Image_12,12,453.0097402597403,601.9675324675325
Image_12,12,423.9888888888889,596.9
Image_12,12,442.1102941176471,599.8529411764706
Image_12,12,461.3668831168831,602.9155844155844
Image_12,12,484.3585657370518,610.191235059761
Image_12,12,475.3063063063063,603.1711711711712
Image_12,12,483.5055865921788,611.6117318435754
Image_12,12,484.3531746031746,610.1785714285714
Image_12,12,461.2779552715655,603.0415335463259
Image_12,12,453.4016393442623,602.2065573770492
Image_12,12,515.464135021097,622.8523206751055
Image_12,12,450.27219626168227,606.0685358255452
Image_12,12,501.434554973822,615.3560209424083
Image_12,12,501.434554973822,615.3560209424083
Image_12,12,532.9506281040024,614.3396630635895
Image_12,12,535.8909952606635,618.2132701421801
Image_12,12,552.4694656488549,612.9656488549618
Image_12,12,552.4962406015038,612.9511278195489
Image_12,12,572.5110677083333,617.1149088541666
Image_12,12,532.974358974359,604.5352564102565
Image_12,12,575.8022284122562,622.1281337047354
Image_12,12,574.9441176470589,622.0911764705883
Image_12,12,532.9845679012345,604.283950617284
Image_12,12,515.1764705882352,597.5098039215686
Image_12,12,500.6395939086294,592.984771573604
Image_12,12,515.0865384615385,597.5096153846154
Image_12,12,485.05069124423966,588.442396313364
Image_12,12,485.05069124423966,588.442396313364
Image_12,12,466.3603603603604,582.4684684684685
Image_12,12,449.1,579.145
Image_12,12,421.5604838709677,574.7096774193549
Image_12,12,421.5604838709677,574.7096774193549
Image_12,12,431.72549019607845,576.4039215686274
Image_12,12,413.0517799352751,572.5695792880259
Image_12,12,413.0392156862745,572.5686274509804
Image_12,12,394.114406779661,568.9067796610169
Image_12,12,394.1276595744681,568.8978723404256
Image_12,12,364.7638888888889,563.8958333333334
Image_12,12,378.1351351351352,566.4864864864865
Image_12,12,373.7314814814815,565.8333333333334
Image_12,12,364.9240506329114,564.3291139240506
Image_12,12,351.79661016949154,561.6680790960452
Image_12,12,338.64774381368267,560.0858806404658
Image_12,12,325.9212598425197,557.1023622047244
Image_12,12,325.6865671641791,556.9328358208955
Image_12,12,312.5635593220339,556.6920903954801
Image_12,12,285.48816029143893,551.0309653916211
Image_12,12,298.2716049382716,553.2753086419752
Image_12,12,270.8498622589531,546.3471074380166
Image_12,12,256.780487804878,544.4634146341464
Image_12,12,240.60251046025104,541.3765690376569
Image_12,12,240.73245614035088,541.3728070175439
Image_12,12,240.73469387755105,541.5918367346939
Image_12,12,206.66666666666663,534.1372549019608
Image_12,12,221.7934782608696,537.9202898550725
Image_12,12,222.4225352112676,537.2629107981221
Image_12,12,186.28327645051195,528.2764505119454
Image_12,12,186.17966101694915,528.2949152542373
Image_12,12,161.7410468319559,523.6997245179064
Image_12,12,161.96899224806202,523.6795865633075
Image_12,12,161.74301675977654,523.7569832402235
Image_12,12,136.70338983050848,518.6412429378531
Image_12,12,136.679012345679,518.7827160493828
Image_12,12,136.7450980392157,518.6638655462185
Image_12,12,115.27407407407408,515.6
Image_12,12,115.27407407407408,515.6
Image_12,12,93.58198614318708,513.0069284064665
Image_12,12,95.2023346303502,510.1848249027237
Image_12,12,95.2023346303502,510.1848249027237
Image_12,12,94.32407407407408,512.7708333333334
Image_12,12,93.58997722095673,512.9043280182233
Image_12,12,94.32407407407408,512.7708333333334
Image_12,12,93.57834101382488,513.0322580645161
Image_12,12,70.31701030927834,509.2345360824742
Image_12,12,70.31701030927834,509.2345360824742
Image_12,12,37.31132075471698,502.8160377358491
Image_12,12,43.42075471698113,504.0471698113208
Image_12,12,37.44131455399061,502.7981220657277
Image_12,12,43.42075471698113,504.0471698113208
Image_12,12,51.70232558139535,505.3767441860465
Image_12,12,37.327659574468086,502.868085106383
Image_12,12,4.638297872340425,503.3829787234043
Image_12,12,21.133858267716537,500.5944881889764
Image_12,12,21.17898832684825,501.1789883268482
Image_12,12,4.807017543859649,497.469298245614
Image_12,12,530.7924528301887,629.7688679245283
Image_12,12,393.0434782608696,590.9945652173913
Image_12,12,407.505376344086,593.5707885304658
Image_12,12,379.23369565217394,588.2282608695652
Image_12,12,379.22222222222223,588.2804232804233
Image_12,12,351.91509433962267,581.9811320754717
Image_12,12,365.69756097560975,584.2829268292683
Image_12,12,337.0406212664277,579.179211469534
Image_12,12,325.10743801652893,576.7107438016529
Image_12,12,306.25,574.9238095238095
Image_12,12,325.1384615384615,576.8
Image_12,12,315.8441247002398,574.5923261390886
Image_12,12,296.990099009901,572.7227722772277
Image_12,12,268.03333333333336,567.547619047619
Image_12,12,279.7916666666667,568.575
Image_12,12,269.72526041666663,564.7955729166666
Image_12,12,253.578125,563.109375
Image_12,12,238.44927536231884,562.7053140096618
Image_12,12,253.63316582914567,563.1859296482412
Image_12,12,238.4915966386555,562.6134453781513
Image_12,12,222.0337552742616,560.8860759493671
Image_12,12,222.02941176470588,560.9453781512605
Image_12,12,203.0176056338028,559.1549295774648
Image_12,12,182.4686468646865,555.1584158415842
Image_12,12,182.5016611295681,555.1461794019933
Image_12,12,163.635838150289,550.121387283237
Image_12,12,148.65895953757226,547.2254335260116
Image_12,12,116.26521739130436,541.295652173913
Image_12,12,116.00947867298578,540.7630331753554
Image_12,12,97.90822784810126,538.7816455696203
Image_12,12,81.90977443609023,535.2406015037594
Image_12,12,97.93478260869566,538.9068322981367
Image_12,12,97.57957957957956,539.1201201201201
Image_12,12,68.87878787878788,532.1341991341991
Image_12,12,76.15697674418605,534.281007751938
Image_12,12,68.93013100436681,532.240174672489
Image_12,12,54.70817120622568,530.1089494163424
Image_12,12,41.19138755980861,527.421052631579
Image_12,12,41.19138755980861,527.421052631579
Image_12,12,49.468992248062015,529.1162790697674
Image_12,12,26.99619771863118,523.8212927756654
Image_12,12,26.87547169811321,523.9094339622642
Image_12,12,26.46896551724138,520.9931034482759
Image_12,12,9.164429530201344,521.3825503355705
Image_12,12,9.261904761904765,521.2551020408164
