Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,2P_thickness
Image_18,133,634.7584269662922,582.6741573033707,178.0,15.054455784347004,NA
Image_18,28,619.7857142857143,579.447619047619,210.0,16.351767622932517,NA
Image_18,137,604.9427083333334,575.1875,192.0,15.635280380893438,NA
Image_18,138,589.4372623574144,571.9277566539924,71.663292,9.552200651174736,NA
Image_18,135,572.3037974683544,567.9071729957806,64.578708,9.06775411959902,NA
Image_18,132,554.7447552447552,563.6328671328671,286.0,19.08262324195121,NA
Image_18,261,536.4398496240601,559.875939849624,266.0,18.403307281560924,11.653949250300391
Image_18,1039,526.0,555.5,10.0,3.5682482323055424,21.208779964547386
Image_18,1039,515.0,559.5,0.544968,0.8329914814781915,NA
Image_18,263,504.37391304347824,552.5173913043478,230.0,17.112717355495807,NA
Image_18,1420,475.4766355140187,546.5093457943925,214.0,16.50676414605009,NA
Image_18,919,460.83644859813086,542.0420560747664,214.0,16.50676414605009,NA
Image_18,1041,444.76623376623377,540.2294372294373,231.0,17.14987856615383,NA
Image_18,1036,430.9583333333333,537.25,144.0,13.540550005146152,8.698507636539016
Image_18,1123,419.9776536312849,533.804469273743,179.0,15.09668435477122,9.10656566393914
Image_18,921,408.3192771084337,531.1265060240963,166.0,14.538148590038452,NA
Image_18,100,382.9685039370079,543.7559055118111,127.0,12.716187407449045,NA
Image_18,829,351.3357142857143,537.7357142857143,140.0,13.351162356249093,NA
Image_18,831,337.76258992805754,534.7913669064748,37.875276,6.9443717621508885,NA
Image_18,1098,323.675,531.55,65.39616,9.124964492305043,NA
Image_18,740,306.8994974874372,528.6532663316583,54.224316,8.309063931479622,NA
Image_18,741,290.26008968609864,524.7937219730942,60.763932,8.795853632024489,NA
Image_18,746,272.04411764705884,521.0637254901961,204.0,16.11647812414279,NA
Image_18,747,256.19897959183675,519.2551020408164,53.406864,8.246194953134006,NA
Image_18,1372,242.44516129032257,517.258064516129,155.0,14.048207338801282,NA
Image_18,1363,227.4185022026432,515.7092511013216,61.853868,8.874389597737348,NA
Image_18,1054,211.8521739130435,511.3217391304348,62.67132,8.932838459568812,NA
Image_18,1068,195.27727272727276,507.9590909090909,59.94648,8.736488362246902,NA
Image_18,1367,177.79841897233203,506.7312252964427,68.938452,9.368840015670395,NA
Image_18,594,161.27027027027026,502.6324324324325,185.0,15.347615963921076,NA
Image_18,65,147.0503144654088,499.7547169811321,43.324956,7.427182995800694,NA
Image_18,593,133.8031496062992,497.6850393700788,127.0,12.716187407449045,NA
Image_18,1056,119.65555555555557,495.02777777777777,180.0,15.13879513212096,NA
Image_18,595,104.1030042918455,493.412017167382,63.488772,8.990907360054077,NA
Image_18,525,85.95,490.475,54.4968,8.329914814781915,NA
Image_18,524,69.95698924731182,488.8494623655914,50.682024,8.03307893425781,NA
Image_18,532,54.57396449704142,486.4497041420119,46.049796,7.657181027910149,NA
Image_18,531,37.92899408284024,483.2899408284024,169.0,14.668929172241665,NA
Image_18,522,24.461077844311376,481.874251497006,45.504828,7.611737415726576,NA
Image_18,523,11.267175572519085,480.9389312977099,35.695404,6.741572512262826,0
Image_0,230,1144.567597153804,239.2583470169677,205.51665418886975,16.176276803236597,NA
Image_0,216,1117.5021732831062,241.04124408384044,873.4457803026966,33.34824894448664,NA
Image_0,219,1066.5170373393184,238.8061393366433,620.219902819982,28.101396881689013,NA
Image_0,714,1017.9100701221716,224.9512036434613,389.0136668575036,22.255506826073496,NA
Image_0,74,970.3790781376988,215.96714269128063,484.43211344519307,24.835420744937068,NA
Image_0,721,956.0395240976004,223.5329703569268,139.45772962816164,13.325280341574803,NA
Image_0,717,934.781027207915,214.55938697318007,579.8505600328826,27.17146781222348,NA
Image_0,673,883.7741323513001,213.96421530335155,378.0038460973855,21.93830998306788,NA
Image_0,966,816.117327649641,194.5649691710436,554.1609782592739,26.56274970082785,NA
Image_0,233,596.5454545454545,186.6969696969697,35.967888,6.7672547862634325,NA
Image_0,232,572.3448275862069,184.41379310344828,87.0,10.524820207108489,NA
Image_0,221,552.0274725274726,167.58241758241758,182.0,15.222667215103916,NA
Image_0,818,537.2108843537414,175.33333333333334,147.0,13.680870333281758,NA
Image_0,722,515.5538461538462,172.16923076923078,65.0,9.09728368293446,NA
Image_0,720,499.3282442748092,157.6259541984733,71.390808,9.534023278563748,NA
Image_0,953,476.241935483871,159.96774193548387,62.0,8.884866446580956,NA
Image_0,478,447.0201873852989,159.309700891851,436.7228901513483,23.58077296934363,NA
Image_0,968,400.081690140845,150.04507042253522,96.73182,11.09787269967554,NA
Image_0,957,385.8865979381444,155.69072164948454,26.430948,5.801114392807537,NA
Image_0,917,327.34027777777777,137.46527777777777,39.237696,7.068167102686291,NA
Image_0,554,310.2447916666667,152.41666666666666,192.0,15.635280380893438,NA
Image_0,553,293.85714285714283,145.85714285714286,42.0,7.312732791431452,2.23251834214474
Image_0,399,283.18733437979984,148.86829712896855,833.0764375155971,32.56847960884803,NA
Image_0,922,254.29166666666663,138.33333333333334,24.0,5.527906391541368,NA
Image_0,392,226.50625236832133,135.92059281714452,667.9291261138268,29.16219773008413,NA
Image_0,483,209.77710843373492,141.27710843373495,166.0,14.538148590038452,NA
Image_0,872,195.47457627118644,138.0677966101695,16.076556,4.524301807168633,NA
Image_0,279,177.77292788205054,123.5753431301227,869.775840049324,33.27811585120235,NA
Image_0,415,159.89403973509934,119.40397350993378,41.145084,7.237924289480377,NA
Image_0,414,147.79166666666666,128.20833333333334,72.0,9.574614729634384,NA
