Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,2P_thickness
Image_0,828,541.0,52.5,16,4.51351666838205,5.933748874723344
Image_0,833,518.3809523809524,54.35714285714285,42,7.312732791431452,7.404493525972405
Image_0,947,491.7906976744186,63.97674418604651,43,7.399277020331919,12.015151682847748
Image_0,786,455.94594594594594,71.75675675675676,37,6.863662517577698,0.24439030650385885
Image_0,782,444.4074074074074,76.96296296296296,27,5.863230142835039,NA
Image_0,1041,347.8484848484849,82.24242424242425,132,12.964089628857147,7.330189379693156
Image_0,678,319.0,96.5,28,5.970821321441846,0
Image_0,671,305.562091503268,88.83006535947712,153,13.957279475043832,0
Image_0,683,288.15,84.95,20,5.046265044040321,6.280322089911134
Image_0,145,275.3636363636364,100.9090909090909,11,3.742410318509555,5.6815560463899075
Image_0,146,257.5,100.0,10,3.5682482323055424,13.680382976504111
Image_0,139,224.8823529411765,109.88235294117646,17,4.652426491681278,0.5487450749389016
Image_0,1016,212.64102564102564,109.25641025641026,39,7.046725639945928,2.133999229709617
Image_0,627,199.125,116.125,16,4.51351666838205,6.128693764277937
Image_0,126,180.2,111.5,10,3.5682482323055424,8.746633977445054
Image_0,111,157.53846153846155,119.6153846153846,13,4.068428945128219,3.8455457328115905
Image_0,565,137.06741573033707,126.0561797752809,89,10.645107772184812,0
Image_0,563,118.5945945945946,130.6689189189189,148,13.727325035155395,0
Image_0,986,101.80714285714286,128.65,140,13.351162356249093,0
Image_0,978,81.7,132.34615384615384,130,12.865501965161371,0
Image_0,457,59.13333333333333,134.2,120,12.360774464742066,5.812460422747909
Image_0,980,37.5,147.0,4,2.256758334191025,5.995541134602397
Image_0,975,16.545454545454547,132.40495867768595,121,12.412170838050638,1.3054052114850503
Image_0,981,3.3258426966292136,153.13483146067415,89,10.645107772184812,0
Image_1,461,630.7454545454545,137.96363636363637,55,8.368283871884005,4.73620598410823
Image_1,1291,606.0392156862745,135.72549019607845,51,8.058239062071396,1.6747532225484747
Image_1,446,586.9466666666667,128.86666666666667,75,9.772050238058398,1.2917796690179362
Image_1,452,568.6363636363636,119.3939393939394,66,9.16699568847508,3.9032560266818983
Image_1,1294,541.9148936170212,120.30851063829788,94,10.94004191971426,0.0
Image_1,1139,529.0851063829788,123.74468085106383,47,7.735777827895049,0.0
Image_1,1134,515.6331658291457,126.04020100502512,199,15.91774699517169,0.0
Image_1,1140,496.8705882352941,121.81176470588235,85,10.403141895720198,0.0
Image_1,1135,480.10135135135135,115.41891891891892,148,13.727325035155395,1.9291778814294744
Image_1,1043,456.9705882352941,114.55882352941175,34,6.579524642479541,2.8111372631377867
Image_1,1028,443.4772727272728,101.38636363636364,44,7.48482063701911,0.0
Image_1,1039,428.8636363636364,105.84545454545454,110,11.834540545406394,0.0
Image_1,1045,408.844262295082,111.20491803278688,122,12.463355264843006,0.346793917396635
Image_1,924,392.44594594594594,96.6891891891892,74,9.70668461991024,0.0
Image_1,1465,364.9966611018364,86.86644407345575,599,27.616489409343156,0.0
Image_1,926,349.9433962264151,102.60377358490568,53,8.214724333230155,1.2248347058437954
Image_1,1403,335.4782608695652,92.67391304347828,46,7.653039857325812,9.704129746870716
Image_1,1437,301.84313725490193,92.1372549019608,51,8.058239062071396,2.1872394218082434
Image_1,1391,271.33522727272725,81.8778409090909,352,21.17026971360491,0.0
Image_1,817,252.8780487804878,76.88617886178862,123,12.514330345744634,0.40396703175079995
Image_1,140,237.875,71.875,8,3.1915382432114616,2.7808508625162345
Image_1,1407,222.53125,79.265625,64,9.0270333367641,1.2950970531496981
Image_1,733,204.6048387096774,64.59677419354838,124,12.565098628628435,0.0
Image_1,1408,193.94927536231884,67.23188405797102,138,13.255453865237978,0.0
Image_1,125,179.5,71.0,6,2.763953195770684,6.686115708669156
Image_1,655,153.03252032520325,63.7479674796748,123,12.514330345744634,4.06711326619115
Image_1,660,125.28333333333332,68.48333333333333,60,8.740387444736633,6.434015006305437
Image_1,91,101.3076923076923,63.0,13,4.068428945128219,1.091807510226256
Image_1,559,90.04166666666667,55.60416666666666,48,7.817640190446719,0.0
Image_1,546,78.01652892561984,55.95867768595041,121,12.412170838050638,0.0
Image_1,551,63.62162162162162,60.054054054054056,111,11.888212206450683,0.0
Image_1,1357,51.425,48.2125,80,10.09253008808064,1.3400575787972038
Image_1,562,31.015625,52.625,64,9.0270333367641,2.9989501264191922
Image_1,564,18.5,39.5,12,3.90882009522336,0.0
Image_2,520,635.1,523.08,50,7.978845608028654,0
