Image_ID,IoU,Precision,Recall,F1_Score,Num_Masks,Num_Masks_Label
X200_ARX2XS1(5).jpg_imagette_0_11.jpg,0.6790654063224792,0.8689202070236206,0.7565678358078003,0.8088611364364624,1,121159
X200_ARX2XS1(5).jpg_imagette_0_12.jpg,0.6721956729888916,0.917353630065918,0.7155277132987976,0.8039677143096924,1,126754
X200_ARX2XS1(5).jpg_imagette_0_13.jpg,0.6601228713989258,0.880338728427887,0.7251930832862854,0.7952699065208435,1,128301
X200_ARX2XS1(5).jpg_imagette_0_14.jpg,0.695027768611908,0.8998979330062866,0.753264844417572,0.8200783133506775,1,122901
X200_ARX2XS1(5).jpg_imagette_0_4.jpg,0.03826730325818062,0.04019372910261154,0.44395768642425537,0.07371377944946289,1,28077
X200_ARX2XS1(5).jpg_imagette_0_5.jpg,0.6865658760070801,0.9346433877944946,0.7211897373199463,0.8141583800315857,1,134145
X200_ARX2XS1(5).jpg_imagette_10_11.jpg,0.6662101149559021,0.836201548576355,0.7661989331245422,0.7996711730957031,1,123789
X200_ARX2XS1(5).jpg_imagette_10_13.jpg,0.6089925765991211,0.9307276010513306,0.6379064917564392,0.7569862008094788,1,170815
X200_ARX2XS1(5).jpg_imagette_10_15.jpg,0.6745774149894714,0.9527897834777832,0.6979048252105713,0.805668830871582,1,166335
X200_ARX2XS1(5).jpg_imagette_10_17.jpg,0.5832503437995911,0.7726012468338013,0.704125702381134,0.7367758750915527,1,114792
X200_ARX2XS1(5).jpg_imagette_10_7.jpg,0.6538856029510498,0.8098729252815247,0.7724645137786865,0.7907264828681946,1,119700
X200_ARX2XS1(5).jpg_imagette_10_8.jpg,0.5949977040290833,0.7319923043251038,0.7607199549674988,0.746079683303833,1,111171
X200_ARX2XS1(5).jpg_imagette_10_9.jpg,0.589543342590332,0.7290823459625244,0.7549216151237488,0.7417770028114319,1,111397
X200_ARX2XS1(5).jpg_imagette_12_7.jpg,0.643507182598114,0.9103294610977173,0.68705815076828,0.7830901741981506,1,130708
X200_ARX2XS1(5).jpg_imagette_13_12.jpg,0.659929096698761,0.7892869710922241,0.8010587096214294,0.7951292991638184,1,116934
X200_ARX2XS1(5).jpg_imagette_3_2.jpg,0.3770129978656769,0.5778707265853882,0.520308256149292,0.547580897808075,1,147403
X200_ARX2XS1(5).jpg_imagette_4_11.jpg,0.2378316968679428,0.25094735622406006,0.8198370337486267,0.3842714726924896,1,34491
X200_ARX2XS1(5).jpg_imagette_4_13.jpg,0.6594769358634949,0.798344075679779,0.791289210319519,0.7948009967803955,1,107843
X200_ARX2XS1(5).jpg_imagette_4_14.jpg,0.6153314113616943,0.7655776143074036,0.7581861615180969,0.7618639469146729,1,107926
X200_ARX2XS1(5).jpg_imagette_5_5.jpg,0.31041017174720764,0.38396674394607544,0.6183712482452393,0.47376033663749695,1,91382
X200_BOU1500AT(1).jpg_imagette_11_10.jpg,0.6509250998497009,0.9136473536491394,0.6935962438583374,0.7885580062866211,1,181238
X200_BOU1500AT(1).jpg_imagette_11_9.jpg,0.6744148135185242,0.9601956009864807,0.6938120722770691,0.8055528402328491,1,202944
X200_BOU1500AT(1).jpg_imagette_13_5.jpg,0.7574453949928284,0.9872714877128601,0.7649151086807251,0.8619845509529114,1,228560
X200_BOU1500AT(1).jpg_imagette_13_6.jpg,0.7805749773979187,0.9942658543586731,0.7841048240661621,0.8767673373222351,1,255411
X200_BOU1500AT(1).jpg_imagette_14_19.jpg,0.622307300567627,0.9369475245475769,0.6495077013969421,0.7671878933906555,1,217049
X200_BOU1500AT(1).jpg_imagette_18_22.jpg,0.42914217710494995,0.4835318624973297,0.7923214435577393,0.6005591154098511,1,152919
X200_BOU1500AT(1).jpg_imagette_19_2.jpg,0.04374730587005615,0.04732392355799675,0.36662420630455017,0.08382739126682281,1,43175
X200_BOU1500AT(1).jpg_imagette_27_4.jpg,0.5168026685714722,0.9350324273109436,0.536051332950592,0.6814368963241577,1,186706
X200_BOU1500AT(1).jpg_imagette_4_13.jpg,0.4373869001865387,0.6181443333625793,0.5993191003799438,0.6085861921310425,1,128651
X200_BOU1500AT(1).jpg_imagette_8_11.jpg,0.7123173475265503,0.9395807981491089,0.7465113997459412,0.8319922089576721,1,207962
