Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,Corrected_CX,Corrected_CY,File_ID,Order,2p_Thickness
Image_1,110,4.847058823529411,178.03529411764706,85,10.403141895720198,4.8431372549019605,178.07422969187675,38,0,0.043448870892914326
Image_1,110,4.847058823529411,178.03529411764706,85,10.403141895720198,4.883534136546184,178.0582329317269,38,1,5.15298983998909
Image_1,108,21.0,178.4609375,128,12.766152972845846,21.03157894736842,178.4578947368421,38,2,0.006725016473677868
Image_1,108,21.0,178.4609375,128,12.766152972845846,21.037593984962406,178.45488721804512,38,3,6.009429843591963
Image_1,111,38.28235294117647,178.52941176470588,85,10.403141895720198,38.046875,178.52604166666666,38,4,0.01334185871553914
Image_1,111,38.28235294117647,178.52941176470588,85,10.403141895720198,38.053030303030305,178.53787878787878,38,5,4.83928983399238
Image_1,113,51.43037974683544,177.26582278481013,79,10.02925341359355,50.86831275720164,177.7530864197531,38,6,0.10671528731091737
Image_1,113,51.43037974683544,177.26582278481013,79,10.02925341359355,50.947976878612714,177.68208092485548,38,7,4.6776090422539625
Image_1,300,72.47727272727273,173.96969696969697,264,18.333991376950163,72.31749460043197,174.040316774658,38,8,0.04664330716971593
Image_1,300,72.47727272727273,173.96969696969697,264,18.333991376950163,72.36395147313692,174.04448295782782,38,9,3.7052023758596917
Image_1,103,91.0111111111111,172.33333333333334,90,10.704744696916627,90.99092970521542,172.33560090702946,38,10,0.0360803664133731
Image_1,103,91.0111111111111,172.33333333333334,90,10.704744696916627,91.02660406885758,172.33020344287948,38,11,4.127950538436089
Image_1,180,105.27027027027027,170.93243243243242,74,9.70668461991024,105.09677419354838,171.05376344086022,38,12,0.03344741763489967
Image_1,180,105.27027027027027,170.93243243243242,74,9.70668461991024,105.11475409836065,171.08196721311475,38,13,3.2926675734076074
Image_1,179,118.36521739130434,169.6,115,12.100518486599809,118.34366925064599,169.78165374677002,38,14,0.05741045439758986
Image_1,179,118.36521739130434,169.6,115,12.100518486599809,118.37992831541217,169.82616487455195,38,15,3.3755221524666563
Image_1,182,133.17117117117118,165.82882882882882,111,11.888212206450683,133.20038535645472,165.73217726396916,38,16,0.0212389699552118
Image_1,182,133.17117117117118,165.82882882882882,111,11.888212206450683,133.21727395411605,165.71929824561403,38,17,
Image_10,546,7.724409448818897,348.66141732283467,127,12.716187407449045,7.793939393939393,348.5769696969697,48,0,0.03255240185614205
Image_10,546,7.724409448818897,348.66141732283467,127,12.716187407449045,7.8026533996683245,348.5456053067993,48,1,5.152683347783821
Image_10,549,24.10989010989011,349.1208791208791,91,10.764051215546116,23.935702199661588,349.3417935702199,48,2,0.040529357610359154
Image_10,549,24.10989010989011,349.1208791208791,91,10.764051215546116,23.972839506172836,349.35802469135797,48,3,6.940693569767358
Image_10,49,39.55813953488372,345.59302325581393,86,10.464157913908982,39.4548802946593,345.56169429097605,48,4,0.04421697352801311
Image_10,49,39.55813953488372,345.59302325581393,86,10.464157913908982,39.48179271708683,345.5266106442577,48,5,5.599051097457542
Image_10,545,54.96268656716418,343.7014925373134,134,13.061933202803932,54.976351351351354,343.7240990990991,48,6,0.035136079822041
Image_10,545,54.96268656716418,343.7014925373134,134,13.061933202803932,54.97767857142857,343.6889880952381,48,7,5.939256048314942
Image_10,73,72.78082191780823,343.3013698630137,146,13.63425735166143,72.91124871001031,343.23735810113516,48,8,0.025563787967741485
Image_10,73,72.78082191780823,343.3013698630137,146,13.63425735166143,72.9360544217687,343.24353741496594,48,9,3.4128805369090713
Image_10,560,88.31137724550898,341.76646706586826,167,14.581872443920645,88.27601410934743,341.74603174603175,48,10,0.0901283573660398
Image_10,560,88.31137724550898,341.76646706586826,167,14.581872443920645,88.35287356321838,341.7931034482759,48,11,3.2950699812739455
Image_10,661,101.6625,342.3625,80,10.09253008808064,101.631884057971,342.4463768115942,48,12,0.04346143444208521
Image_10,661,101.6625,342.3625,80,10.09253008808064,101.65348399246703,342.4086629001883,48,13,5.106639699960359
Image_10,82,113.3225806451613,340.16129032258067,62,8.884866446580956,113.52742616033754,340.04641350210966,48,14,0.05948362044115435
Image_10,82,113.3225806451613,340.16129032258067,62,8.884866446580956,113.56140350877193,340.0952380952381,48,15,5.341292772221383
Image_10,659,125.78021978021978,339.35164835164835,91,10.764051215546116,125.88833333333332,339.5,48,16,0.06509803921568391
Image_10,659,125.78021978021978,339.35164835164835,91,10.764051215546116,125.953431372549,339.5,48,17,3.030495891855052
Image_10,660,137.87951807228916,336.8313253012048,83,10.280023453913834,137.64689265536722,336.67231638418076,48,18,0.07489544553793949
Image_10,660,137.87951807228916,336.8313253012048,83,10.280023453913834,137.69850187265916,336.7265917602996,48,19,6.2738226102221315
Image_10,657,151.8041237113402,334.2680412371134,97,11.11324596323283,151.76923076923077,334.32730015082956,48,20,0.06314677253961752
Image_10,657,151.8041237113402,334.2680412371134,97,11.11324596323283,151.83225806451614,334.3311827956989,48,21,4.983900388296021
Image_10,655,164.83157894736843,334.46315789473687,95,10.998079684646791,164.81547619047618,334.4642857142857,48,22,0.035058964325677906
Image_10,655,164.83157894736843,334.46315789473687,95,10.998079684646791,164.85042735042734,334.46153846153845,48,23,3.6593600363029175
Image_10,770,178.47368421052633,335.05263157894734,95,10.998079684646791,178.48611111111111,335.2654320987654,48,24,0.03377645745770364
Image_10,770,178.47368421052633,335.05263157894734,95,10.998079684646791,178.4934210526316,335.23245614035085,48,25,4.9256038814268095
Image_10,769,193.09722222222223,331.55555555555554,144,13.540550005146152,192.96078431372547,331.56243550051596,48,26,0.04397514548013083
Image_10,769,193.09722222222223,331.55555555555554,144,13.540550005146152,192.98478561549098,331.52558782849235,48,27,5.66798714032983
Image_10,766,208.63571428571427,330.24285714285713,140,13.351162356249093,208.60734463276833,330.3333333333333,48,28,0.06589434354268409
Image_10,766,208.63571428571427,330.24285714285713,140,13.351162356249093,208.64166666666665,330.2770833333333,48,29,3.9003685651226796
Image_10,767,222.578125,330.359375,128,12.766152972845846,222.5387045813586,330.58135860979456,48,30,0.03329617426074203
Image_10,767,222.578125,330.359375,128,12.766152972845846,222.55672514619883,330.60935672514614,48,31,5.858786000794975
Image_10,768,237.85987261146497,326.35668789808915,157,14.13855043925722,237.86363636363637,326.4621212121212,48,32,0.010491685281102439
Image_10,768,237.85987261146497,326.35668789808915,157,14.13855043925722,237.8735632183908,326.4655172413793,48,33,3.1850349275579486
Image_10,865,252.1368421052632,325.7368421052632,95,10.998079684646791,252.04716981132074,325.89622641509436,48,34,0.030768815033312667
Image_10,865,252.1368421052632,325.7368421052632,95,10.998079684646791,252.06944444444446,325.875,48,35,3.3500864848733
Image_10,861,263.8625,328.975,80,10.09253008808064,263.9151138716356,329.36853002070393,48,36,0.030627463127276596
Image_10,861,263.8625,328.975,80,10.09253008808064,263.93527508090614,329.3915857605177,48,37,3.281147346658255
Image_10,866,274.9154929577465,327.2112676056338,71,9.507891862878784,274.94565217391306,326.9347826086956,48,38,0.02566431218316894
Image_10,866,274.9154929577465,327.2112676056338,71,9.507891862878784,274.9527027027027,326.9594594594595,48,39,3.0997671361560997
Image_10,1510,286.89256198347107,328.46280991735534,121,12.412170838050638,286.9635220125786,328.4238993710692,48,40,0.04851072212144183
Image_10,1510,286.89256198347107,328.46280991735534,121,12.412170838050638,286.9857397504456,328.4670231729055,48,41,3.0518542892376015
Image_10,859,300.0194174757282,328.24271844660194,103,11.451797811161432,300.0304347826087,328.03478260869565,48,42,0.014606420913946759
Image_10,859,300.0194174757282,328.24271844660194,103,11.451797811161432,300.0308641975309,328.04938271604937,48,43,3.4481446323552696
Image_10,869,311.35643564356434,326.96039603960395,101,11.340070282773889,311.4220779220779,326.90909090909093,48,44,0.028453889632990316
