Image_Name,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
X200_TGV4C_B-P_2.tif,199,636.0909090909091,320.3636363636364,33,6.482044814428575
X200_TGV4E_B-P.tif,132,636.056179775281,320.5168539325843,89,10.645107772184812
X200_TGV4A_B_P.tif,111,635.8285714285714,322.12857142857143,70,9.440697438826296
X200_TGV4B_B-P_1.tif,671,635.4744525547445,327.3138686131387,137,13.207339536360733
X200_TGV4F_B_P_2.tif,311,635.4736842105264,323.9377990430622,209,16.312788383647018
X200_TGV4E_B-P.tif,493,635.368,322.416,125,12.6156626101008
X200_TGV4E_B-P.tif,169,635.22,320.72,150,13.81976597885342
X200_TGV4B_B-P_2.tif,161,635.1219512195122,326.2621951219512,164,14.450303987687134
X200_TGV4D_B-P_2.tif,56,634.9746835443038,321.7088607594937,237,17.371176474327626
X200_TGV4F_B_P_2.tif,433,634.9193548387096,328.0387096774194,310,19.867165345562015
X200_TGV4B_B-P_2.tif,653,634.9125,328.7,80,10.09253008808064
X200_TGV4B_B-P_2.tif,182,634.8169934640523,325.16339869281046,153,13.957279475043832
X200_TGV4C_B-P_1.tif,119,634.5191082802547,320.3980891719745,314,19.99492978349364
X200_TGV4D_B-P_1.tif,140,634.4907063197026,322.2788104089219,269,18.5067943613625
X200_TGV4F_B_P_2.tif,860,634.2586206896551,323.1810344827586,232,17.186959427966244
X200_TGV4A_B_P.tif,710,634.0714285714286,327.1714285714286,70,9.440697438826296
X200_TGV4E_B-P.tif,823,633.8041666666667,322.8125,240,17.480774889473267
X200_TGV4A_B_P.tif,212,633.75,327.3277777777778,180,15.13879513212096
X200_TGV4B_B-P_1.tif,209,633.7195767195767,327.7830687830688,189,15.512648837479231
X200_TGV4D_B-P_1.tif,96,633.6900584795321,330.1345029239766,171,14.755472278097804
X200_TGV4D_B-P_2.tif,18,633.2793791574279,328.4678492239468,451,23.96311821686732
X200_TGV4B_B-P_2.tif,755,633.2250922509226,323.0036900369004,542,26.26967516446403
X200_TGV4B_B-P_1.tif,714,633.0866666666667,329.91333333333336,150,13.81976597885342
X200_TGV4C_B-P_1.tif,35,632.969696969697,322.780303030303,132,12.964089628857147
X200_TGV4B_B-P_1.tif,720,632.9056603773585,329.4245283018868,106,11.617374563210364
X200_TGV4D_B-P_2.tif,66,632.8377659574468,323.1728723404256,376,21.88008383942852
X200_TGV4D_B-P_1.tif,86,632.6467991169978,326.51876379690947,453,24.01619274083693
X200_TGV4F_B_P_2.tif,298,632.639344262295,326.42622950819674,122,12.463355264843006
X200_TGV4C_B-P_1.tif,129,632.5633802816901,329.16901408450707,142,13.446189622059965
X200_TGV4E_B-P.tif,178,632.4090909090909,326.59090909090907,22,5.292567428401227
X200_TGV4F_B_P_2.tif,48,632.2896995708154,322.30042918454933,466,24.35835848013133
X200_TGV4C_B-P_1.tif,178,632.2732919254659,323.7888198757764,161,14.317526556719258
X200_TGV4F_B_P_2.tif,309,632.1801242236024,326.944099378882,161,14.317526556719258
X200_TGV4D_B-P_2.tif,14,632.1228070175439,328.1111111111111,171,14.755472278097804
X200_TGV4A_B_P.tif,705,632.0769230769231,328.13675213675214,117,12.205286835384658
X200_TGV4A_B_P.tif,959,632.0670731707318,328.9024390243902,164,14.450303987687134
X200_TGV4C_B-P_1.tif,146,631.937875751503,324.3967935871744,499,25.20608126668733
X200_TGV4C_B-P_1.tif,318,631.8367346938776,324.484693877551,196,15.797308339337176
X200_TGV4A_B_P.tif,170,631.3880597014926,323.67164179104475,67,9.23618154310838
X200_TGV4D_B-P_1.tif,124,631.3025,328.8525,400,22.56758334191025
X200_TGV4B_B-P_2.tif,195,630.7272727272727,326.1818181818182,11,3.742410318509555
X200_TGV4A_B_P.tif,169,630.5714285714286,321.04464285714283,112,11.941642642883693
X200_TGV4D_B-P_2.tif,101,630.5,327.0,2,1.5957691216057308
X200_TGV4C_B-P_2.tif,181,629.634349030471,329.4515235457064,361,21.43920417481474
X200_TGV4B_B-P_1.tif,199,629.5168539325842,325.2022471910112,178,15.054455784347004
X200_TGV4A_B_P.tif,165,629.1860465116279,321.5813953488372,43,7.399277020331919
X200_TGV4D_B-P_1.tif,13,628.9554973821989,329.1806282722513,382,22.05396803500069
X200_TGV4E_B-P.tif,109,628.5492957746479,329.0492957746479,284,19.015783725757565
X200_TGV4C_B-P_2.tif,207,628.4892857142858,325.1928571428571,280,18.881394877652596
X200_TGV4F_B_P_2.tif,143,628.4102564102565,329.2435897435897,156,14.093451279891855
X200_TGV4D_B-P_2.tif,47,628.1756756756756,327.55405405405406,74,9.70668461991024
X200_TGV4B_B-P_1.tif,733,628.1176470588235,322.2867647058824,136,13.159049284959082
X200_TGV4D_B-P_2.tif,101,628.0,325.0,1,1.1283791670955126
X200_TGV4B_B-P_1.tif,681,627.9351464435147,320.8577405857741,478,24.669991941291908
X200_TGV4B_B-P_1.tif,179,627.5135135135135,321.31531531531533,111,11.888212206450683
X200_TGV4E_B-P.tif,573,627.5,324.1798245614035,228,17.03815178355966
X200_TGV4E_B-P.tif,134,627.4010416666666,323.9791666666667,192,15.635280380893438
X200_TGV4D_B-P_2.tif,2,627.2666666666667,328.1666666666667,30,6.180387232371033
X200_TGV4E_B-P.tif,644,626.0294736842105,321.7115789473684,475,24.592453796829677
X200_TGV4D_B-P_2.tif,28,625.7770562770563,329.5194805194805,462,24.2535908613064
X200_TGV4B_B-P_2.tif,618,625.6172248803828,322.20574162679424,418,23.06976657227589
X200_TGV4E_B-P.tif,601,625.2837209302326,323.7116279069768,215,16.545286401814263
X200_TGV4F_B_P_2.tif,98,624.5957446808511,329.7340425531915,94,10.94004191971426
X200_TGV4E_B-P.tif,157,624.3441558441558,323.4448051948052,308,19.80297401347661
X200_TGV4E_B-P.tif,180,623.289156626506,329.50602409638554,249,17.805522925178455
X200_TGV4E_B-P.tif,601,622.9142091152816,320.66487935656835,373,21.792621462004423
X200_TGV4C_B-P_2.tif,508,622.8659003831417,326.9923371647509,261,18.229523339239496
X200_TGV4C_B-P_2.tif,175,622.52,323.0,150,13.81976597885342
X200_TGV4B_B-P_1.tif,197,621.6268656716418,320.55223880597015,67,9.23618154310838
X200_TGV4B_B-P_2.tif,918,620.9924812030075,329.70676691729324,266,18.403307281560924
X200_TGV4D_B-P_1.tif,24,620.7719298245614,326.8245614035088,57,8.51907589177983
X200_TGV4E_B-P.tif,184,619.1578947368421,324.8684210526316,38,6.955796338302048
X200_TGV4E_B-P.tif,140,619.0650154798761,328.4396284829721,323,20.279456919490165
X200_TGV4C_B-P_1.tif,37,618.9423076923077,326.03846153846155,52,8.136857890256438
X200_TGV4A_B_P.tif,504,618.7692307692307,329.1748251748252,143,13.49345229721172
X200_TGV4E_B-P.tif,140,618.4744027303755,327.764505119454,293,19.314740138231286
X200_TGV4C_B-P_1.tif,178,618.3333333333334,324.6666666666667,3,1.95441004761168
X200_TGV4A_B_P.tif,122,618.0923076923077,322.9076923076923,65,9.09728368293446
X200_TGV4B_B-P_1.tif,190,618.0645161290323,328.9078341013825,217,16.622063085174787
X200_TGV4C_B-P_1.tif,318,617.8,325.6666666666667,30,6.180387232371033
X200_TGV4B_B-P_2.tif,661,617.374269005848,322.4356725146199,342,20.867389014906145
X200_TGV4A_B_P.tif,125,617.2272727272727,320.22727272727275,22,5.292567428401227
X200_TGV4C_B-P_1.tif,117,617.1609195402299,321.9750957854406,522,25.780439141949365
X200_TGV4B_B-P_2.tif,613,617.0783289817232,320.6892950391645,383,22.08281561833924
X200_TGV4B_B-P_2.tif,917,617.0759878419453,329.7082066869301,329,20.46694433025772
X200_TGV4C_B-P_2.tif,751,616.8821548821549,322.64983164983164,297,19.44613444328572
X200_TGV4C_B-P_2.tif,192,616.6919191919192,321.90909090909093,198,15.877702285203682
X200_TGV4A_B_P.tif,237,616.2252252252252,329.06006006006004,333,20.590987552733093
X200_TGV4C_B-P_2.tif,187,615.8695652173913,324.17391304347825,23,5.4115163798060095
X200_TGV4C_B-P_2.tif,860,615.5202492211838,323.3582554517134,321,20.21657473114541
X200_TGV4B_B-P_1.tif,217,615.2608695652174,328.6268115942029,276,18.746042631630413
X200_TGV4C_B-P_1.tif,231,615.238683127572,328.2078189300411,486,24.875578761936158
X200_TGV4A_B_P.tif,701,615.2307692307693,326.0769230769231,104,11.507254783503184
X200_TGV4B_B-P_1.tif,210,615.0552763819095,327.7286432160804,199,15.91774699517169
X200_TGV4F_B_P_2.tif,308,614.6473988439307,323.728323699422,173,14.841510746523856
X200_TGV4E_B-P.tif,157,614.5638554216868,327.8144578313253,415,22.98683125324351
X200_TGV4A_B_P.tif,1040,614.2985074626865,329.04477611940297,201,15.99753570059363
X200_TGV4C_B-P_1.tif,110,614.2280701754386,325.56140350877195,342,20.867389014906145
X200_TGV4F_B_P_2.tif,318,614.0902255639098,328.6278195488722,266,18.403307281560924
X200_TGV4B_B-P_1.tif,163,613.5507246376811,325.8369565217391,276,18.746042631630413
X200_TGV4D_B-P_2.tif,78,613.4512195121952,329.7154471544715,246,17.697935698969246
X200_TGV4B_B-P_1.tif,757,613.3320610687023,321.37404580152673,262,18.26441241104166
X200_TGV4E_B-P.tif,669,613.1652173913044,328.7217391304348,115,12.100518486599809
X200_TGV4E_B-P.tif,183,612.9241071428571,326.30357142857144,224,16.88803298257901
X200_TGV4A_B_P.tif,721,612.5133928571429,322.0982142857143,224,16.88803298257901
X200_TGV4E_B-P.tif,776,612.4130434782609,329.0869565217391,138,13.255453865237978
X200_TGV4B_B-P_2.tif,647,612.2433460076046,322.8365019011407,263,18.29923496393627
X200_TGV4C_B-P_2.tif,710,611.5622775800712,323.02846975088966,281,18.91508160359296
X200_TGV4F_B_P_2.tif,357,611.5,325.5,32,6.383076486422923
X200_TGV4A_B_P.tif,650,610.0991379310345,321.125,232,17.186959427966244
X200_TGV4D_B-P_2.tif,101,609.4186991869918,327.0569105691057,246,17.697935698969246
X200_TGV4A_B_P.tif,603,609.1489361702128,321.1914893617021,47,7.735777827895049
X200_TGV4B_B-P_2.tif,164,608.996875,325.234375,320,20.185060176161283
X200_TGV4E_B-P.tif,559,608.8958333333334,329.6458333333333,192,15.635280380893438
X200_TGV4E_B-P.tif,100,607.6958333333333,321.2958333333333,240,17.480774889473267
X200_TGV4A_B_P.tif,1065,607.0,326.5,180,15.13879513212096
X200_TGV4E_B-P.tif,703,606.133064516129,325.866935483871,248,17.769732893161912
X200_TGV4B_B-P_1.tif,194,606.0583333333333,323.74583333333334,240,17.480774889473267
X200_TGV4C_B-P_1.tif,230,606.0,323.0,1,1.1283791670955126
X200_TGV4D_B-P_2.tif,16,605.9107468123862,321.73224043715845,549,26.438769072322643
X200_TGV4B_B-P_1.tif,650,604.4423076923077,327.9935897435897,156,14.093451279891855
X200_TGV4B_B-P_2.tif,207,604.25,320.3333333333333,24,5.527906391541368
X200_TGV4F_B_P_2.tif,745,604.2,329.6714285714286,70,9.440697438826296
X200_TGV4C_B-P_1.tif,121,603.7247191011236,328.9719101123595,178,15.054455784347004
X200_TGV4C_B-P_2.tif,171,602.7018633540373,329.6645962732919,161,14.317526556719258
X200_TGV4B_B-P_2.tif,764,602.516129032258,328.5012406947891,403,22.65205369339104
X200_TGV4C_B-P_2.tif,170,601.7733990147783,328.1527093596059,203,16.07692842495848
X200_TGV4C_B-P_2.tif,210,601.4186046511628,320.90697674418607,43,7.399277020331919
X200_TGV4B_B-P_2.tif,196,601.1111111111111,326.1111111111111,9,3.385137501286538
X200_TGV4F_B_P_2.tif,99,600.3618421052631,320.05263157894734,152,13.911592676604096
X200_TGV4F_B_P_2.tif,116,599.9583333333334,323.2916666666667,24,5.527906391541368
X200_TGV4B_B-P_1.tif,682,599.9095890410958,320.4547945205479,365,21.55765371807272
X200_TGV4F_B_P_2.tif,82,599.563829787234,324.6489361702128,94,10.94004191971426
X200_TGV4B_B-P_2.tif,175,598.1607142857143,320.2366071428572,224,16.88803298257901
X200_TGV4C_B-P_2.tif,690,596.4923076923077,324.9384615384615,325,20.34214472564109
X200_TGV4F_B_P_2.tif,487,596.2424242424242,329.6515151515151,66,9.16699568847508
X200_TGV4F_B_P_2.tif,211,596.0,328.62068965517244,58,8.593479713983122
X200_TGV4E_B-P.tif,133,595.8851351351351,327.8682432432432,296,19.413369239820483
X200_TGV4E_B-P.tif,118,595.5210084033613,328.0882352941176,238,17.407785949022028
X200_TGV4B_B-P_2.tif,771,595.2260869565217,329.09565217391304,115,12.100518486599809
X200_TGV4B_B-P_1.tif,211,595.1497005988024,328.11077844311376,334,20.62188177498708
X200_TGV4C_B-P_2.tif,755,594.516923076923,325.3076923076923,325,20.34214472564109
X200_TGV4E_B-P.tif,171,594.01953125,326.6484375,256,18.0540666735282
X200_TGV4B_B-P_1.tif,697,593.676,323.608,250,17.841241161527712
X200_TGV4C_B-P_1.tif,214,593.6752767527676,327.9151291512915,271,18.575465448360347
X200_TGV4E_B-P.tif,666,593.4146341463414,327.35121951219514,205,16.15593100600236
X200_TGV4A_B_P.tif,836,593.3538461538461,328.12820512820514,195,15.7569575497098
X200_TGV4D_B-P_2.tif,26,593.1843137254901,325.9529411764706,255,18.01877032173579
X200_TGV4D_B-P_2.tif,9,593.0689655172414,325.0038314176245,261,18.229523339239496
X200_TGV4A_B_P.tif,1057,592.6911764705883,327.77941176470586,68,9.304852983362556
X200_TGV4B_B-P_1.tif,835,592.569105691057,326.2710027100271,369,21.675455981530703
X200_TGV4A_B_P.tif,1055,592.3653846153846,327.8269230769231,52,8.136857890256438
X200_TGV4C_B-P_2.tif,723,592.2579505300354,326.9434628975265,283,18.982275710779543
X200_TGV4A_B_P.tif,242,592.2084942084942,329.4749034749035,259,18.15954410458608
X200_TGV4B_B-P_2.tif,779,591.804347826087,329.9347826086956,46,7.653039857325812
X200_TGV4A_B_P.tif,1591,591.7421875,326.9609375,128,12.766152972845846
X200_TGV4F_B_P_2.tif,397,591.1309523809524,328.54761904761904,84,10.34176589165282
X200_TGV4F_B_P_2.tif,296,591.0046296296297,324.412037037037,216,16.583719174624104
X200_TGV4B_B-P_1.tif,192,590.9183673469388,323.38775510204084,98,11.170383851240114
X200_TGV4A_B_P.tif,275,590.76,321.26666666666665,75,9.772050238058398
X200_TGV4F_B_P_2.tif,673,590.3072519083969,327.0057251908397,524,25.829779740470595
X200_TGV4F_B_P_2.tif,45,590.2336448598131,328.5140186915888,214,16.50676414605009
X200_TGV4F_B_P_2.tif,157,590.1475409836065,327.6086065573771,488,24.92671052968601
X200_TGV4E_B-P.tif,182,590.0176470588235,325.05882352941177,170,14.712264360219256
X200_TGV4B_B-P_1.tif,749,590.0028985507247,325.2782608695652,345,20.958712816717327
X200_TGV4D_B-P_2.tif,27,589.8478260869565,329.8695652173913,506,25.38226171238474
X200_TGV4F_B_P_2.tif,658,589.7180043383948,322.61388286334056,461,24.22732816723524
X200_TGV4B_B-P_1.tif,165,589.5979899497487,324.7537688442211,199,15.91774699517169
X200_TGV4F_B_P_2.tif,374,589.3897763578275,322.87220447284346,313,19.963065333312567
X200_TGV4A_B_P.tif,719,588.9430894308944,329.6829268292683,123,12.514330345744634
X200_TGV4C_B-P_1.tif,230,588.5583038869258,329.4381625441696,283,18.982275710779543
X200_TGV4F_B_P_2.tif,590,588.4364820846905,325.71661237785014,307,19.77080019204319
X200_TGV4E_B-P.tif,793,588.0384615384615,323.5432692307692,208,16.273715780512877
X200_TGV4C_B-P_1.tif,209,587.9228723404256,327.468085106383,376,21.88008383942852
X200_TGV4C_B-P_2.tif,191,587.7793427230047,327.21596244131456,213,16.46815177937675
X200_TGV4A_B_P.tif,215,587.7532467532468,328.87012987012986,77,9.901487006738307
X200_TGV4D_B-P_2.tif,8,587.540590405904,329.49630996309963,542,26.26967516446403
X200_TGV4A_B_P.tif,239,587.4736842105264,321.1578947368421,19,4.918490759365935
X200_TGV4E_B-P.tif,554,587.2152777777778,324.63425925925924,432,23.452920571340155
X200_TGV4A_B_P.tif,1193,587.0943396226415,327.7358490566038,106,11.617374563210364
X200_TGV4F_B_P_2.tif,168,586.766129032258,322.35483870967744,124,12.565098628628435
X200_TGV4F_B_P_2.tif,141,586.5,326.0,6,2.763953195770684
X200_TGV4F_B_P_2.tif,173,586.2164948453608,326.41237113402065,97,11.11324596323283
X200_TGV4F_B_P_2.tif,143,586.0,325.8,10,3.5682482323055424
X200_TGV4E_B-P.tif,560,585.9375,329.07916666666665,240,17.480774889473267
X200_TGV4E_B-P.tif,182,585.89375,321.65625,160,14.27299292922217
X200_TGV4E_B-P.tif,574,584.8666666666667,324.44126984126984,315,20.02674353437364
X200_TGV4E_B-P.tif,196,584.6388888888889,320.25,36,6.770275002573076
X200_TGV4A_B_P.tif,120,584.4705882352941,320.30392156862746,102,11.396070970426017
X200_TGV4B_B-P_2.tif,174,583.87265917603,320.68913857677904,267,18.437867513470437
