Image_Name,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
X200_15492_PB1.tif,168,638.25,326.75,4,2.256758334191025
X200_15492_PB2.tif,1080,635.6410256410256,325.5,156,14.093451279891855
X200_15492_PB1.tif,348,635.4941176470588,329.1235294117647,170,14.712264360219256
X200_15492_PB1.tif,755,635.3493975903615,332.26506024096386,83,10.280023453913834
X200_15492_PB1.tif,990,635.077922077922,333.1688311688312,77,9.901487006738307
X200_15492_PB1.tif,1131,634.7174887892377,328.4349775784753,223,16.85029431422316
X200_15492_PB1.tif,533,634.2894736842105,329.5131578947368,76,9.83698151873187
X200_15492_PB1.tif,967,634.1029411764706,328.88235294117646,272,18.609705966725112
X200_15492_PB2.tif,844,633.991304347826,332.6666666666667,345,20.958712816717327
X200_15492_PB2.tif,302,633.8958333333334,328.86805555555554,144,13.540550005146152
X200_15492_PB1.tif,949,632.7547169811321,326.1462264150944,212,16.42944866646031
X200_15492_PB1.tif,339,632.1705426356589,330.45348837209303,258,18.12445316531431
X200_15492_PB1.tif,973,631.8950276243094,328.4972375690608,181,15.180789096653193
X200_15492_PB2.tif,1023,631.4235294117647,328.56470588235294,85,10.403141895720198
X200_15492_PB1.tif,304,631.1744186046511,327.28682170542635,258,18.12445316531431
X200_15492_PB1.tif,356,630.685393258427,331.55056179775283,178,15.054455784347004
X200_15492_PB1.tif,556,628.6305970149253,329.6305970149254,268,18.47236308621676
X200_15492_PB2.tif,297,627.705223880597,331.2313432835821,268,18.47236308621676
X200_15492_PB1.tif,774,627.4017857142857,325.63392857142856,224,16.88803298257901
X200_15492_PB2.tif,336,626.7622377622378,330.3951048951049,286,19.08262324195121
X200_15492_PB1.tif,967,622.5418994413408,325.4581005586592,179,15.09668435477122
X200_15492_PB1.tif,236,620.4411764705883,333.63235294117646,68,9.304852983362556
X200_15492_PB2.tif,317,620.2577319587629,324.44329896907215,97,11.11324596323283
X200_15492_PB1.tif,353,619.9787234042553,329.6010638297872,188,15.471555655790098
X200_15492_PB2.tif,301,619.9363057324841,324.97452229299364,157,14.13855043925722
X200_15492_PB1.tif,308,617.2982456140351,331.7719298245614,114,12.047792665040705
X200_15492_PB1.tif,1202,616.5029239766081,332.3157894736842,171,14.755472278097804
X200_15492_PB1.tif,1198,615.16,326.0566666666667,300,19.5441004761168
X200_15492_PB2.tif,772,615.074074074074,330.8703703703704,54,8.291859587312052
X200_15492_PB1.tif,738,613.0430107526881,326.51612903225805,93,10.881694613449236
X200_15492_PB1.tif,763,612.8617886178862,326.9593495934959,123,12.514330345744634
X200_15492_PB1.tif,357,610.7452830188679,329.7358490566038,106,11.617374563210364
X200_15492_PB2.tif,767,610.7386018237082,330.3510638297872,658,28.944630252185583
X200_15492_PB2.tif,1129,609.1972789115646,325.5816326530612,294,19.347672370394783
X200_15492_PB1.tif,935,608.3761467889908,329.6605504587156,109,11.780624362746345
X200_15492_PB2.tif,555,606.4798850574713,328.78735632183907,348,21.049640414216977
X200_15492_PB2.tif,306,605.4122807017544,330.12280701754383,228,17.03815178355966
X200_15492_PB2.tif,297,605.2964824120603,333.3115577889447,199,15.91774699517169
X200_15492_PB2.tif,1100,603.5416666666666,325.5283333333333,600,27.63953195770684
X200_15492_PB2.tif,310,603.4333333333333,332.4,90,10.704744696916627
X200_15492_PB1.tif,1287,602.0988593155894,331.11787072243345,526,25.87902626705061
X200_15492_PB2.tif,303,601.3214285714286,333.10714285714283,28,5.970821321441846
X200_15492_PB1.tif,231,596.7124183006536,332.9738562091503,153,13.957279475043832
X200_15492_PB2.tif,201,596.3068181818181,331.8125,176,14.96964127403822
X200_15492_PB1.tif,936,595.1354166666666,325.3125,96,11.055812783082736
X200_15492_PB1.tif,277,593.6842105263158,332.7473684210526,190,15.553633450087505
X200_15492_PB1.tif,226,592.0490797546013,331.4723926380368,163,14.406180819073164
X200_15492_PB1.tif,1309,592.0,332.0,1,1.1283791670955126
X200_15492_PB2.tif,302,591.110497237569,330.04419889502765,181,15.180789096653193
X200_15492_PB1.tif,1046,590.7333333333333,332.06666666666666,90,10.704744696916627
X200_15492_PB1.tif,1011,589.7578947368421,332.0421052631579,95,10.998079684646791
X200_15492_PB2.tif,554,588.15625,324.45703125,256,18.0540666735282
X200_15492_PB2.tif,309,588.0769230769231,325.65034965034965,143,13.49345229721172
X200_15492_PB2.tif,198,585.3488372093024,333.5348837209302,43,7.399277020331919
