Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
Image_18,361,627.6203007518797,295.09022556390977,532,26.026206750102997
Image_18,364,610.6451612903226,310.80645161290323,93,10.881694613449236
Image_18,1167,599.5,292.0,2,1.5957691216057308
Image_18,1167,579.074074074074,286.2333333333333,270,18.5411616971131
Image_18,1172,560.0557553956835,297.2661870503597,556,26.60678836073137
Image_18,1412,547.0166666666667,309.1555555555556,180,15.13879513212096
Image_18,1169,536.7860262008734,291.9606986899564,229,17.075475271404667
Image_18,986,518.7269230769231,300.2846153846154,260,18.19456736586892
Image_18,982,501.3516129032258,294.9129032258065,310,19.867165345562015
Image_18,985,480.72677595628414,311.9398907103825,183,15.26443044094783
Image_18,109,465.0477941176471,308.0220588235294,272,18.609705966725112
Image_18,879,447.9490740740741,304.337962962963,216,16.583719174624104
Image_18,1168,431.7246376811594,326.90579710144925,138,13.255453865237978
Image_18,1319,420.1384615384615,323.8,130,12.865501965161371
Image_18,886,408.0962962962963,321.81481481481484,135,13.110581167104948
Image_18,796,394.8666666666667,319.25454545454545,165,14.494292838262302
Image_18,800,384.0068493150685,335.041095890411,146,13.63425735166143
Image_18,805,370.1036269430052,332.24870466321244,193,15.67594437773643
Image_18,803,355.71612903225804,330.3354838709677,155,14.048207338801282
Image_18,1276,343.10828025477707,327.1019108280255,157,14.13855043925722
Image_18,802,331.4590163934426,323.94262295081967,122,12.463355264843006
Image_18,711,309.3636363636364,333.9848484848485,66,9.16699568847508
Image_18,718,296.5925925925926,332.22222222222223,81,10.155412503859614
Image_18,714,281.96774193548384,338.1290322580645,93,10.881694613449236
Image_18,1281,269.75,327.30555555555554,72,9.574614729634384
Image_18,1282,255.0413223140496,332.92561983471074,121,12.412170838050638
Image_18,1279,241.27007299270076,328.4087591240876,137,13.207339536360733
Image_18,74,226.48230088495572,343.45575221238937,226,16.96325844612841
Image_18,1213,211.9730769230769,340.9307692307692,260,18.19456736586892
Image_18,636,199.3795180722892,338.078313253012,166,14.538148590038452
Image_18,632,187.04072398190044,335.6425339366516,221,16.774562271083887
Image_18,566,172.55597014925374,334.89179104477614,268,18.47236308621676
Image_18,570,162.13924050632912,354.84388185654007,237,17.371176474327626
Image_18,565,145.64658634538154,353.59437751004015,249,17.805522925178455
Image_18,572,133.14285714285714,343.42857142857144,7,2.985410660720923
Image_18,59,112.40892193308552,347.8438661710037,269,18.5067943613625
Image_18,1211,97.57558139534883,344.86046511627904,172,14.798554040663838
Image_18,503,85.55102040816327,351.9591836734694,49,7.898654169668588
Image_18,498,73.86842105263158,350.2105263157895,38,6.955796338302048
Image_18,1229,61.15,347.43333333333334,60,8.740387444736633
Image_18,1239,47.35401459854015,360.0,274,18.67799869518773
Image_18,48,32.8,343.1058823529412,85,10.403141895720198
Image_18,492,14.147766323024054,356.22680412371136,291,19.248706645328987
Image_0,240,601.1203703703703,289.6388888888889,108,11.726460285670075
Image_0,237,587.3053435114504,294.62595419847327,131,12.914889870235298
Image_0,242,569.4238410596026,294.82781456953643,151,13.86575534383214
Image_0,241,552.8020833333334,276.15625,96,11.055812783082736
Image_0,728,513.0922619047619,288.6875,336,20.683531783305643
Image_0,678,435.1,300.0,10,3.5682482323055424
Image_0,680,409.44444444444446,308.1111111111111,27,5.863230142835039
Image_0,977,383.4666666666666,307.8,120,12.360774464742066
