Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
361,627.6203007518797,295.09022556390977,532,26.026206750102997
1412,547.0166666666667,309.1555555555556,180,15.13879513212096
987,533.8304093567251,304.87134502923976,171,14.755472278097804
985,480.72677595628414,311.9398907103825,183,15.26443044094783
109,465.0477941176471,308.0220588235294,272,18.609705966725112
886,408.0962962962963,321.81481481481484,135,13.110581167104948
796,394.8666666666667,319.25454545454545,165,14.494292838262302
1276,343.10828025477707,327.1019108280255,157,14.13855043925722
802,331.4590163934426,323.94262295081967,122,12.463355264843006
1376,331.36046511627904,324.7906976744186,172,14.798554040663838
711,309.3636363636364,333.9848484848485,66,9.16699568847508
718,296.5925925925926,332.22222222222223,81,10.155412503859614
1360,268.4749455337691,335.2505446623094,459,24.17471718621419
1282,255.0413223140496,332.92561983471074,121,12.412170838050638
1213,211.9730769230769,340.9307692307692,260,18.19456736586892
1343,202.0,338.0,7,2.985410660720923
636,199.3795180722892,338.078313253012,166,14.538148590038452
572,133.14285714285714,343.42857142857144,7,2.985410660720923
561,129.27196652719664,350.25941422594144,239,17.44431859350499
59,112.40892193308552,347.8438661710037,269,18.5067943613625
572,112.40221402214024,347.8487084870849,271,18.575465448360347
503,85.55102040816327,351.9591836734694,49,7.898654169668588
1254,83.03418803418803,351.3333333333333,117,12.205286835384658
1255,82.05714285714286,351.43809523809523,105,11.562445770562215
498,73.86842105263158,350.2105263157895,38,6.955796338302048
1239,47.35401459854015,360.0,274,18.67799869518773
1240,31.45390070921986,358.3900709219858,282,18.948708441878452
492,14.147766323024054,356.22680412371136,291,19.248706645328987
